Wilayah,Cluster
Kabupaten Bangkalan,1
Kabupaten Banyuwangi,1
Kabupaten Blitar,3
Kabupaten Bojonegoro,2
Kabupaten Bondowoso,3
Kabupaten Gresik,3
Kabupaten Jember,3
Kabupaten Jombang,3
Kabupaten Kediri,1
Kabupaten Lamongan,3
Kabupaten Lumajang,1
Kabupaten Madiun,2
Kabupaten Magetan,2
Kabupaten Malang,3
Kabupaten Mojokerto,3
Kabupaten Nganjuk,2
Kabupaten Ngawi,2
Kabupaten Pacitan,1
Kabupaten Pamekasan,1
Kabupaten Pasuruan,1
Kabupaten Ponorogo,1
Kabupaten Probolinggo,1
Kabupaten Sampang,1
Kabupaten Sidoarjo,3
Kabupaten Situbondo,2
Kabupaten Sumenep,1
Kabupaten Trenggalek,1
Kabupaten Tuban,2
Kabupaten Tulungagung,1
Kota Batu,3
Kota Blitar,1
Kota Kediri,1
Kota Madiun,2
Kota Malang,3
Kota Mojokerto,3
Kota Pasuruan,1
Kota Probolinggo,1
Kota Surabaya,3
