Kabupaten/Kota,cluster_1,cluster_2,cluster_3
Kabupaten Bangkalan,0.4076335903031171,0.34223726563170875,0.2501291440648283
Kabupaten Banyuwangi,0.39399747257175216,0.3502960821638377,0.2557064452640668
Kabupaten Blitar,9.204479303066048e-20,7.921391286762975e-20,0.9999999999989999
Kabupaten Bojonegoro,0.2960566071827177,0.39173044946766444,0.31221294334927924
Kabupaten Bondowoso,0.3147806941442358,0.33310374035425455,0.3521155655011755
Kabupaten Gresik,0.2729977673385855,0.28889726553354494,0.4381049671275197
Kabupaten Jember,0.3147806941442358,0.33310374035425455,0.3521155655011755
Kabupaten Jombang,0.2125100385078039,0.22404204746930842,0.5634479140224748
Kabupaten Kediri,0.9999999999989999,1.6884660739050911e-19,9.204479303066048e-20
Kabupaten Lamongan,0.2729977673385855,0.28889726553354494,0.4381049671275197
Kabupaten Lumajang,0.3965170865753639,0.3494636418444668,0.25401927157982535
Kabupaten Madiun,0.2960566071827177,0.39173044946766444,0.31221294334927924
Kabupaten Magetan,1.6884660739050911e-19,0.9999999999989999,7.921391286762975e-20
Kabupaten Malang,9.204479303066048e-20,7.921391286762975e-20,0.9999999999989999
Kabupaten Mojokerto,0.2125100385078039,0.22404204746930842,0.5634479140224748
Kabupaten Nganjuk,0.2960566071827177,0.39173044946766444,0.31221294334927924
Kabupaten Ngawi,1.6884660739050911e-19,0.9999999999989999,7.921391286762975e-20
Kabupaten Pacitan,0.6574809721532122,0.23143007363068516,0.11108895421560434
Kabupaten Pamekasan,0.4130965936852463,0.34869694380280464,0.2382064625116
Kabupaten Pasuruan,0.3965170865753639,0.3494636418444668,0.25401927157982535
Kabupaten Ponorogo,0.6574809721532122,0.23143007363068516,0.11108895421560434
Kabupaten Probolinggo,0.3965170865753639,0.3494636418444668,0.25401927157982535
Kabupaten Sampang,0.4076335903031171,0.34223726563170875,0.2501291440648283
Kabupaten Sidoarjo,0.2125100385078039,0.22404204746930842,0.5634479140224748
Kabupaten Situbondo,0.3206232547390727,0.35477979439069857,0.32459695086989465
Kabupaten Sumenep,0.4130965936852463,0.34869694380280464,0.2382064625116
Kabupaten Trenggalek,0.9999999999989999,1.6884660739050911e-19,9.204479303066048e-20
Kabupaten Tuban,0.3291709580853863,0.3683519460419985,0.30247709587227967
Kabupaten Tulungagung,0.9999999999989999,1.6884660739050911e-19,9.204479303066048e-20
Kota Batu,9.204479303066048e-20,7.921391286762975e-20,0.9999999999989999
Kota Blitar,0.9999999999989999,1.6884660739050911e-19,9.204479303066048e-20
Kota Kediri,0.9999999999989999,1.6884660739050911e-19,9.204479303066048e-20
Kota Madiun,1.6884660739050911e-19,0.9999999999989999,7.921391286762975e-20
Kota Malang,9.204479303066048e-20,7.921391286762975e-20,0.9999999999989999
Kota Mojokerto,0.2125100385078039,0.22404204746930842,0.5634479140224748
Kota Pasuruan,0.3620589534362786,0.3565468154784166,0.28139423108496725
Kota Probolinggo,0.3965170865753639,0.3494636418444668,0.25401927157982535
Kota Surabaya,0.2729977673385855,0.28889726553354494,0.4381049671275197
