-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -7.05   longitude 112.9333 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 23.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,10.05
2022,1,2,7.62
2022,1,3,21.26
2022,1,4,2.76
2022,1,5,1.77
2022,1,6,3.52
2022,1,7,41.8
2022,1,8,2.67
2022,1,9,11.63
2022,1,10,13.68
2022,1,11,21.66
2022,1,12,11.22
2022,1,13,3.13
2022,1,14,1.99
2022,1,15,2.83
2022,1,16,2.15
2022,1,17,6.0
2022,1,18,20.18
2022,1,19,10.09
2022,1,20,37.03
2022,1,21,12.24
2022,1,22,4.6
2022,1,23,2.39
2022,1,24,1.49
2022,1,25,5.69
2022,1,26,2.05
2022,1,27,4.06
2022,1,28,15.2
2022,1,29,6.1
2022,1,30,15.05
2022,1,31,13.07
2022,2,1,7.12
2022,2,2,3.32
2022,2,3,5.67
2022,2,4,21.16
2022,2,5,6.94
2022,2,6,9.65
2022,2,7,10.06
2022,2,8,3.7
2022,2,9,13.21
2022,2,10,28.37
2022,2,11,13.2
2022,2,12,9.98
2022,2,13,8.89
2022,2,14,6.73
2022,2,15,1.42
2022,2,16,3.63
2022,2,17,9.98
2022,2,18,24.31
2022,2,19,0.46
2022,2,20,4.47
2022,2,21,15.13
2022,2,22,15.16
2022,2,23,21.59
2022,2,24,17.61
2022,2,25,29.9
2022,2,26,10.45
2022,2,27,6.46
2022,2,28,11.18
2022,3,1,6.93
2022,3,2,4.76
2022,3,3,5.19
2022,3,4,7.28
2022,3,5,25.64
2022,3,6,12.4
2022,3,7,29.43
2022,3,8,8.26
2022,3,9,4.53
2022,3,10,10.78
2022,3,11,10.7
2022,3,12,4.8
