-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -8.3669   longitude 114.1667 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 106.56 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,4.79
2022,1,2,13.17
2022,1,3,5.39
2022,1,4,2.21
2022,1,5,7.08
2022,1,6,0.85
2022,1,7,10.86
2022,1,8,5.07
2022,1,9,51.84
2022,1,10,9.11
2022,1,11,19.83
2022,1,12,3.78
2022,1,13,3.68
2022,1,14,5.5
2022,1,15,21.29
2022,1,16,1.91
2022,1,17,30.59
2022,1,18,30.45
2022,1,19,25.71
2022,1,20,17.67
2022,1,21,1.77
2022,1,22,4.98
2022,1,23,1.49
2022,1,24,0.08
2022,1,25,0.53
2022,1,26,17.84
2022,1,27,12.95
2022,1,28,19.74
2022,1,29,5.5
2022,1,30,5.98
2022,1,31,2.58
2022,2,1,6.2
2022,2,2,2.53
2022,2,3,4.64
2022,2,4,7.23
2022,2,5,4.93
2022,2,6,9.15
2022,2,7,1.22
2022,2,8,1.92
2022,2,9,14.06
2022,2,10,7.32
2022,2,11,4.06
2022,2,12,5.44
2022,2,13,1.82
2022,2,14,8.19
2022,2,15,5.6
2022,2,16,3.1
2022,2,17,1.9
2022,2,18,3.79
2022,2,19,1.72
2022,2,20,11.67
2022,2,21,18.5
2022,2,22,99.51
2022,2,23,63.78
2022,2,24,7.5
2022,2,25,11.44
2022,2,26,2.98
2022,2,27,2.87
2022,2,28,1.51
2022,3,1,8.82
2022,3,2,2.51
2022,3,3,20.28
2022,3,4,10.25
2022,3,5,22.01
2022,3,6,9.9
2022,3,7,24.51
2022,3,8,16.08
2022,3,9,8.8
2022,3,10,3.32
2022,3,11,11.36
2022,3,12,5.49
2022,3,13,2.02
2022,3,14,0.81
2022,3,15,0.93
2022,3,16,5.13
2022,3,17,0.64
2022,3,18,8.67
2022,3,19,8.41
2022,3,20,14.65
2022,3,21,8.34
2022,3,22,15.02
2022,3,23,4.62
2022,3,24,28.83
2022,3,25,22.65
2022,3,26,5.96
2022,3,27,9.27
2022,3,28,3.58
2022,3,29,4.32
2022,3,30,3.5
2022,3,31,2.9
2022,4,1,12.03
2022,4,2,5.45
2022,4,3,3.23
2022,4,4,3.82
2022,4,5,0.14
2022,4,6,1.87
2022,4,7,2.13
2022,4,8,1.67
2022,4,9,2.46
2022,4,10,0.4
2022,4,11,0.02
2022,4,12,0.03
2022,4,13,0.02
2022,4,14,0.01
2022,4,15,0.92
2022,4,16,0.51
2022,4,17,0.63
2022,4,18,1.4
2022,4,19,6.28
2022,4,20,4.47
2022,4,21,4.46
2022,4,22,4.22
2022,4,23,0.61
2022,4,24,3.89
2022,4,25,1.31
2022,4,26,0.25
2022,4,27,4.62
2022,4,28,6.64
2022,4,29,7.3
2022,4,30,4.52
2022,5,1,1.1
2022,5,2,0.29
2022,5,3,1.31
2022,5,4,0.26
2022,5,5,0.55
2022,5,6,0.47
2022,5,7,0.59
2022,5,8,2.23
2022,5,9,13.97
2022,5,10,2.54
2022,5,11,0.39
2022,5,12,2.24
2022,5,13,8.52
2022,5,14,1.52
2022,5,15,0.35
2022,5,16,0.05
2022,5,17,0.95
