-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -7.2501   longitude 111.8083 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 234.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,11.46
2022,1,2,19.32
2022,1,3,6.57
2022,1,4,6.22
2022,1,5,0.31
2022,1,6,14.69
2022,1,7,27.51
2022,1,8,4.39
2022,1,9,11.11
2022,1,10,3.84
2022,1,11,20.59
2022,1,12,5.29
2022,1,13,2.26
2022,1,14,0.47
2022,1,15,3.32
2022,1,16,1.55
2022,1,17,4.44
2022,1,18,16.38
2022,1,19,18.79
2022,1,20,21.78
2022,1,21,13.84
2022,1,22,4.4
2022,1,23,0.28
2022,1,24,0.01
2022,1,25,1.31
2022,1,26,4.92
2022,1,27,2.09
2022,1,28,10.21
2022,1,29,23.02
2022,1,30,16.19
2022,1,31,3.5
2022,2,1,4.33
2022,2,2,2.91
2022,2,3,3.93
2022,2,4,11.88
2022,2,5,5.34
2022,2,6,19.84
2022,2,7,7.49
2022,2,8,4.93
2022,2,9,18.16
2022,2,10,14.28
2022,2,11,12.56
2022,2,12,16.53
2022,2,13,16.67
2022,2,14,7.63
2022,2,15,1.11
2022,2,16,1.06
2022,2,17,12.73
2022,2,18,20.63
2022,2,19,0.17
2022,2,20,1.46
2022,2,21,14.58
2022,2,22,5.85
2022,2,23,19.58
2022,2,24,32.39
2022,2,25,18.05
2022,2,26,4.94
2022,2,27,12.35
2022,2,28,18.43
2022,3,1,3.9
2022,3,2,3.13
2022,3,3,1.64
2022,3,4,10.73
2022,3,5,12.84
2022,3,6,10.57
2022,3,7,19.5
2022,3,8,10.2
2022,3,9,13.62
2022,3,10,22.93
2022,3,11,5.14
2022,3,12,11.59
2022,3,13,30.64
2022,3,14,9.82
2022,3,15,8.05
2022,3,16,7.7
2022,3,17,0.0
2022,3,18,0.01
2022,3,19,7.97
2022,3,20,23.34
2022,3,21,6.79
2022,3,22,15.26
2022,3,23,1.87
2022,3,24,0.12
2022,3,25,18.73
2022,3,26,12.62
2022,3,27,15.14
2022,3,28,4.36
2022,3,29,4.98
2022,3,30,4.54
2022,3,31,8.85
2022,4,1,14.71
2022,4,2,2.09
2022,4,3,19.28
2022,4,4,11.79
2022,4,5,1.43
2022,4,6,0.31
2022,4,7,1.07
2022,4,8,0.46
2022,4,9,3.79
2022,4,10,2.8
2022,4,11,12.09
2022,4,12,1.94
2022,4,13,0.53
2022,4,14,0.57
2022,4,15,0.01
2022,4,16,0.0
2022,4,17,10.79
2022,4,18,4.28
2022,4,19,24.47
2022,4,20,6.27
2022,4,21,3.22
2022,4,22,0.13
2022,4,23,2.71
2022,4,24,1.49
2022,4,25,12.16
2022,4,26,9.03
2022,4,27,6.02
2022,4,28,7.89
2022,4,29,8.26
2022,4,30,4.51
2022,5,1,2.31
2022,5,2,2.65
2022,5,3,4.12
2022,5,4,1.88
2022,5,5,0.01
2022,5,6,2.95
2022,5,7,14.21
2022,5,8,10.73
2022,5,9,12.57
2022,5,10,14.14
2022,5,11,16.48
2022,5,12,0.17
2022,5,13,3.95
2022,5,14,20.33
2022,5,15,5.26
2022,5,16,0.42
2022,5,17,4.23
2022,5,18,5.49
2022,5,19,7.95
2022,5,20,19.66
2022,5,21,17.66
2022,5,22,3.21
2022,5,23,1.18
2022,5,24,3.36
2022,5,25,7.24
2022,5,26,20.55
2022,5,27,7.64
2022,5,28,3.95
2022,5,29,9.27
2022,5,30,1.14
2022,5,31,5.4
2022,6,1,3.7
2022,6,2,2.42
2022,6,3,0.78
2022,6,4,1.24
2022,6,5,20.7
2022,6,6,24.56
2022,6,7,1.67
2022,6,8,2.01
2022,6,9,2.43
2022,6,10,2.1
2022,6,11,6.31
2022,6,12,24.6
2022,6,13,16.31
2022,6,14,3.27
2022,6,15,7.51
2022,6,16,5.64
2022,6,17,4.03
2022,6,18,1.16
2022,6,19,1.36
2022,6,20,10.56
2022,6,21,4.51
2022,6,22,0.0
2022,6,23,8.63
2022,6,24,1.91
2022,6,25,8.92
2022,6,26,18.76
2022,6,27,4.02
2022,6,28,0.73
2022,6,29,0.02
2022,6,30,0.0
2022,7,1,5.34
2022,7,2,11.12
2022,7,3,2.39
2022,7,4,7.37
2022,7,5,13.75
2022,7,6,11.62
2022,7,7,0.55
2022,7,8,0.05
2022,7,9,0.0
2022,7,10,0.19
2022,7,11,0.31
2022,7,12,0.68
2022,7,13,12.35
2022,7,14,9.81
2022,7,15,3.78
2022,7,16,13.07
2022,7,17,5.02
2022,7,18,0.1
2022,7,19,0.01
2022,7,20,0.0
2022,7,21,0.11
2022,7,22,0.01
2022,7,23,0.0
2022,7,24,0.0
2022,7,25,0.0
2022,7,26,0.0
2022,7,27,0.0
2022,7,28,0.0
2022,7,29,0.03
2022,7,30,0.13
2022,7,31,0.0
2022,8,1,0.0
2022,8,2,2.29
2022,8,3,0.16
2022,8,4,0.04
2022,8,5,0.13
2022,8,6,0.0
2022,8,7,0.0
2022,8,8,0.0
2022,8,9,0.0
2022,8,10,7.08
2022,8,11,3.21
2022,8,12,0.23
2022,8,13,9.12
2022,8,14,6.59
2022,8,15,0.7
2022,8,16,3.84
2022,8,17,0.0
2022,8,18,0.0
2022,8,19,0.0
2022,8,20,0.58
2022,8,21,0.9
2022,8,22,0.04
2022,8,23,0.0
2022,8,24,0.0
2022,8,25,0.0
2022,8,26,0.0
2022,8,27,0.49
2022,8,28,0.03
2022,8,29,0.0
2022,8,30,0.36
2022,8,31,0.27
2022,9,1,0.01
2022,9,2,0.0
2022,9,3,0.11
2022,9,4,0.1
2022,9,5,0.22
2022,9,6,0.29
2022,9,7,5.17
2022,9,8,0.93
2022,9,9,1.72
2022,9,10,7.66
2022,9,11,1.07
2022,9,12,0.04
2022,9,13,2.42
2022,9,14,0.14
2022,9,15,3.88
2022,9,16,7.33
2022,9,17,0.03
2022,9,18,0.0
2022,9,19,2.11
2022,9,20,0.7
2022,9,21,0.35
2022,9,22,4.15
2022,9,23,1.46
2022,9,24,0.0
2022,9,25,0.0
2022,9,26,0.0
2022,9,27,0.0
2022,9,28,0.0
2022,9,29,22.5
2022,9,30,30.68
2022,10,1,1.07
2022,10,2,4.51
2022,10,3,17.12
2022,10,4,5.82
2022,10,5,3.39
2022,10,6,5.39
2022,10,7,17.59
2022,10,8,8.84
2022,10,9,3.5
2022,10,10,16.45
2022,10,11,7.13
2022,10,12,3.59
2022,10,13,14.49
2022,10,14,22.53
2022,10,15,20.33
2022,10,16,2.75
2022,10,17,0.95
2022,10,18,18.83
2022,10,19,4.94
2022,10,20,4.18
2022,10,21,18.69
2022,10,22,1.3
2022,10,23,17.76
2022,10,24,4.35
2022,10,25,7.8
2022,10,26,5.47
2022,10,27,0.15
2022,10,28,0.0
2022,10,29,0.03
2022,10,30,0.05
2022,10,31,4.28
2022,11,1,3.54
2022,11,2,12.02
2022,11,3,10.86
2022,11,4,13.91
2022,11,5,5.3
2022,11,6,13.08
2022,11,7,3.55
2022,11,8,14.17
2022,11,9,18.26
2022,11,10,4.24
2022,11,11,5.97
2022,11,12,4.99
2022,11,13,3.15
