-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -8.2335   longitude 113.6667 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 547.04 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,5.05
2022,1,2,15.41
2022,1,3,13.72
2022,1,4,5.27
2022,1,5,3.34
2022,1,6,6.95
2022,1,7,29.74
2022,1,8,4.22
2022,1,9,24.91
2022,1,10,8.14
2022,1,11,23.84
2022,1,12,3.55
2022,1,13,2.4
2022,1,14,0.99
2022,1,15,5.62
2022,1,16,1.77
2022,1,17,7.2
2022,1,18,20.9
2022,1,19,19.04
2022,1,20,34.08
2022,1,21,4.96
2022,1,22,4.9
2022,1,23,0.79
2022,1,24,0.07
2022,1,25,1.18
2022,1,26,6.91
2022,1,27,3.01
2022,1,28,16.97
2022,1,29,19.39
2022,1,30,15.81
2022,1,31,6.01
2022,2,1,5.25
2022,2,2,2.47
2022,2,3,7.07
2022,2,4,16.84
2022,2,5,2.31
2022,2,6,7.07
2022,2,7,7.52
2022,2,8,2.36
2022,2,9,22.42
2022,2,10,10.61
2022,2,11,8.49
2022,2,12,12.2
2022,2,13,7.54
2022,2,14,7.08
2022,2,15,0.98
2022,2,16,4.07
2022,2,17,4.53
2022,2,18,11.81
2022,2,19,1.89
2022,2,20,3.09
2022,2,21,14.27
2022,2,22,52.6
2022,2,23,30.17
2022,2,24,20.53
2022,2,25,15.6
2022,2,26,6.76
2022,2,27,9.41
2022,2,28,8.42
2022,3,1,7.83
2022,3,2,3.27
2022,3,3,6.5
2022,3,4,13.67
2022,3,5,13.31
2022,3,6,23.48
2022,3,7,19.12
2022,3,8,19.66
2022,3,9,6.3
2022,3,10,8.84
2022,3,11,23.69
2022,3,12,4.97
2022,3,13,10.41
2022,3,14,11.05
2022,3,15,1.55
2022,3,16,7.75
2022,3,17,0.13
2022,3,18,1.1
2022,3,19,20.53
2022,3,20,23.96
2022,3,21,14.35
2022,3,22,14.65
2022,3,23,4.07
2022,3,24,6.5
2022,3,25,23.29
2022,3,26,5.7
2022,3,27,19.52
2022,3,28,1.93
2022,3,29,6.24
2022,3,30,5.52
2022,3,31,0.75
2022,4,1,13.56
2022,4,2,0.62
2022,4,3,14.89
2022,4,4,14.98
2022,4,5,0.13
2022,4,6,0.44
2022,4,7,0.13
2022,4,8,0.05
2022,4,9,0.59
2022,4,10,0.14
2022,4,11,0.0
2022,4,12,0.0
2022,4,13,0.29
2022,4,14,0.21
2022,4,15,0.04
2022,4,16,0.02
2022,4,17,0.04
2022,4,18,1.17
2022,4,19,16.02
2022,4,20,10.44
2022,4,21,3.55
2022,4,22,2.48
2022,4,23,1.71
2022,4,24,3.11
2022,4,25,6.82
2022,4,26,5.91
2022,4,27,8.11
2022,4,28,13.33
2022,4,29,9.7
2022,4,30,6.08
2022,5,1,2.69
2022,5,2,2.44
2022,5,3,5.05
2022,5,4,1.13
2022,5,5,0.55
2022,5,6,1.92
2022,5,7,4.45
2022,5,8,5.99
2022,5,9,19.37
2022,5,10,20.4
2022,5,11,8.03
2022,5,12,0.23
2022,5,13,12.14
2022,5,14,12.38
2022,5,15,10.36
2022,5,16,0.12
2022,5,17,1.52
2022,5,18,3.46
2022,5,19,1.8
2022,5,20,27.67
2022,5,21,9.92
2022,5,22,4.73
2022,5,23,0.82
2022,5,24,2.98
2022,5,25,8.8
2022,5,26,24.86
2022,5,27,8.51
2022,5,28,4.1
2022,5,29,7.15
2022,5,30,3.22
2022,5,31,8.26
2022,6,1,14.62
2022,6,2,0.64
2022,6,3,0.22
2022,6,4,0.97
2022,6,5,8.31
2022,6,6,8.68
2022,6,7,2.59
2022,6,8,1.95
2022,6,9,4.07
2022,6,10,3.17
2022,6,11,3.33
2022,6,12,19.79
2022,6,13,12.08
2022,6,14,8.68
2022,6,15,9.72
2022,6,16,6.41
2022,6,17,3.95
2022,6,18,1.67
2022,6,19,5.14
2022,6,20,2.37
2022,6,21,0.03
2022,6,22,0.03
2022,6,23,8.0
2022,6,24,1.59
2022,6,25,0.11
2022,6,26,2.87
2022,6,27,1.92
2022,6,28,0.23
2022,6,29,0.04
2022,6,30,0.1
2022,7,1,5.7
2022,7,2,10.79
2022,7,3,1.69
2022,7,4,7.62
2022,7,5,21.76
2022,7,6,6.99
2022,7,7,0.45
2022,7,8,0.21
2022,7,9,0.05
2022,7,10,0.27
2022,7,11,0.16
2022,7,12,0.33
2022,7,13,1.31
2022,7,14,0.82
2022,7,15,1.94
2022,7,16,0.5
2022,7,17,0.14
2022,7,18,0.05
2022,7,19,0.01
2022,7,20,0.01
2022,7,21,0.02
2022,7,22,0.5
2022,7,23,0.92
2022,7,24,0.01
2022,7,25,0.0
2022,7,26,0.01
2022,7,27,0.02
2022,7,28,0.01
2022,7,29,0.24
2022,7,30,0.73
2022,7,31,0.01
2022,8,1,0.01
2022,8,2,3.23
2022,8,3,0.59
2022,8,4,0.05
2022,8,5,0.02
2022,8,6,0.52
2022,8,7,2.79
2022,8,8,0.38
2022,8,9,0.46
2022,8,10,0.32
2022,8,11,0.11
2022,8,12,0.28
2022,8,13,5.63
2022,8,14,5.06
2022,8,15,1.7
2022,8,16,0.28
2022,8,17,0.06
2022,8,18,0.06
2022,8,19,0.07
2022,8,20,0.0
2022,8,21,0.04
2022,8,22,0.02
2022,8,23,0.0
2022,8,24,0.0
2022,8,25,0.0
2022,8,26,0.02
2022,8,27,0.0
2022,8,28,0.0
2022,8,29,0.41
2022,8,30,1.5
2022,8,31,1.8
2022,9,1,0.13
2022,9,2,0.01
2022,9,3,0.02
2022,9,4,0.01
2022,9,5,0.01
2022,9,6,0.48
2022,9,7,0.97
2022,9,8,1.25
2022,9,9,1.32
2022,9,10,2.44
2022,9,11,1.41
2022,9,12,0.02
2022,9,13,0.02
2022,9,14,1.58
2022,9,15,3.25
2022,9,16,0.69
2022,9,17,0.01
2022,9,18,0.01
2022,9,19,0.02
2022,9,20,1.73
2022,9,21,1.11
2022,9,22,0.11
2022,9,23,0.06
2022,9,24,0.01
2022,9,25,0.01
2022,9,26,0.0
2022,9,27,0.0
2022,9,28,0.02
2022,9,29,16.19
2022,9,30,42.53
2022,10,1,10.46
2022,10,2,13.47
2022,10,3,30.44
2022,10,4,4.35
2022,10,5,0.42
2022,10,6,2.15
2022,10,7,21.56
2022,10,8,8.27
2022,10,9,4.19
2022,10,10,2.0
2022,10,11,6.05
2022,10,12,2.32
2022,10,13,13.05
2022,10,14,18.94
2022,10,15,14.1
2022,10,16,2.31
2022,10,17,13.67
2022,10,18,11.54
2022,10,19,5.02
2022,10,20,6.98
2022,10,21,19.4
2022,10,22,5.12
2022,10,23,14.98
2022,10,24,9.18
2022,10,25,12.12
2022,10,26,11.93
2022,10,27,7.9
