-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -7.546   longitude 112.2331 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 239.03 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,7.94
2022,1,2,21.95
2022,1,3,14.6
2022,1,4,7.64
2022,1,5,1.12
2022,1,6,9.6
2022,1,7,39.13
2022,1,8,3.96
2022,1,9,9.39
2022,1,10,4.92
2022,1,11,24.54
2022,1,12,5.7
2022,1,13,1.85
2022,1,14,0.74
2022,1,15,1.1
2022,1,16,2.25
2022,1,17,3.59
2022,1,18,18.2
2022,1,19,22.11
2022,1,20,28.92
2022,1,21,10.13
2022,1,22,5.31
2022,1,23,0.53
2022,1,24,0.04
2022,1,25,1.59
2022,1,26,2.16
2022,1,27,1.76
2022,1,28,13.64
2022,1,29,27.85
2022,1,30,22.94
2022,1,31,6.07
2022,2,1,4.42
2022,2,2,3.83
2022,2,3,6.02
2022,2,4,17.96
2022,2,5,2.68
2022,2,6,13.31
2022,2,7,9.39
2022,2,8,3.5
2022,2,9,24.28
2022,2,10,8.72
2022,2,11,10.64
2022,2,12,17.43
2022,2,13,12.74
2022,2,14,4.43
2022,2,15,0.39
2022,2,16,2.2
2022,2,17,7.57
2022,2,18,14.58
2022,2,19,0.17
2022,2,20,2.27
2022,2,21,17.43
2022,2,22,10.72
2022,2,23,28.74
2022,2,24,20.85
2022,2,25,29.26
2022,2,26,8.52
2022,2,27,8.86
2022,2,28,16.98
2022,3,1,4.93
2022,3,2,3.27
2022,3,3,1.21
2022,3,4,11.8
2022,3,5,22.0
2022,3,6,17.28
2022,3,7,24.98
2022,3,8,11.23
2022,3,9,9.15
2022,3,10,25.43
2022,3,11,10.75
2022,3,12,5.4
2022,3,13,28.4
2022,3,14,8.33
2022,3,15,2.32
2022,3,16,8.84
2022,3,17,0.02
2022,3,18,0.27
2022,3,19,19.72
2022,3,20,25.93
2022,3,21,12.97
2022,3,22,17.42
2022,3,23,3.09
2022,3,24,0.74
2022,3,25,20.73
2022,3,26,11.93
2022,3,27,19.25
2022,3,28,7.8
2022,3,29,6.45
2022,3,30,4.04
2022,3,31,1.56
2022,4,1,16.29
2022,4,2,1.61
2022,4,3,20.69
2022,4,4,21.33
2022,4,5,0.95
2022,4,6,0.43
2022,4,7,0.25
2022,4,8,0.07
2022,4,9,1.69
2022,4,10,0.7
2022,4,11,1.85
2022,4,12,0.24
2022,4,13,0.5
2022,4,14,0.11
2022,4,15,0.0
2022,4,16,0.0
2022,4,17,1.76
2022,4,18,1.27
2022,4,19,28.61
2022,4,20,4.61
2022,4,21,2.77
2022,4,22,0.34
2022,4,23,3.21
2022,4,24,2.42
2022,4,25,9.88
2022,4,26,8.73
2022,4,27,8.15
2022,4,28,9.91
2022,4,29,9.64
2022,4,30,5.73
2022,5,1,2.91
2022,5,2,4.08
2022,5,3,5.04
2022,5,4,2.9
2022,5,5,0.1
2022,5,6,2.84
2022,5,7,8.28
2022,5,8,13.74
