-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -7.1334   longitude 112.3167 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 18.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,8.79
2022,1,2,14.99
2022,1,3,13.23
2022,1,4,4.98
2022,1,5,0.79
2022,1,6,7.77
2022,1,7,40.88
2022,1,8,2.25
2022,1,9,8.81
2022,1,10,6.5
2022,1,11,20.18
2022,1,12,6.45
2022,1,13,4.5
2022,1,14,2.89
2022,1,15,4.03
2022,1,16,2.45
2022,1,17,5.87
2022,1,18,19.03
2022,1,19,18.86
2022,1,20,33.01
2022,1,21,8.9
2022,1,22,4.6
2022,1,23,1.12
2022,1,24,0.87
2022,1,25,7.77
2022,1,26,2.05
2022,1,27,2.73
2022,1,28,15.77
2022,1,29,17.77
2022,1,30,18.56
2022,1,31,8.16
2022,2,1,7.68
2022,2,2,3.52
2022,2,3,4.17
2022,2,4,17.02
2022,2,5,8.08
2022,2,6,16.06
2022,2,7,9.44
2022,2,8,3.97
2022,2,9,19.87
2022,2,10,17.45
2022,2,11,11.29
2022,2,12,14.58
2022,2,13,15.35
2022,2,14,5.34
2022,2,15,2.84
2022,2,16,3.4
2022,2,17,8.91
2022,2,18,17.1
2022,2,19,0.18
2022,2,20,3.41
2022,2,21,16.08
2022,2,22,11.62
2022,2,23,26.58
2022,2,24,15.6
2022,2,25,47.0
2022,2,26,12.68
2022,2,27,7.11
2022,2,28,13.12
2022,3,1,6.42
2022,3,2,3.57
2022,3,3,7.86
2022,3,4,8.59
2022,3,5,21.48
2022,3,6,12.82
2022,3,7,34.47
2022,3,8,7.44
2022,3,9,9.34
2022,3,10,17.52
2022,3,11,7.62
2022,3,12,5.98
2022,3,13,20.76
2022,3,14,7.78
2022,3,15,2.08
2022,3,16,13.41
2022,3,17,0.17
2022,3,18,1.46
2022,3,19,18.64
2022,3,20,17.53
2022,3,21,11.65
2022,3,22,13.28
2022,3,23,2.95
2022,3,24,0.97
2022,3,25,16.68
2022,3,26,10.33
2022,3,27,12.35
2022,3,28,10.04
2022,3,29,5.95
2022,3,30,5.71
2022,3,31,2.3
2022,4,1,13.61
2022,4,2,2.94
2022,4,3,16.92
2022,4,4,19.64
2022,4,5,2.92
2022,4,6,0.89
2022,4,7,0.37
2022,4,8,0.33
2022,4,9,1.36
2022,4,10,0.79
2022,4,11,1.53
2022,4,12,1.06
2022,4,13,0.76
2022,4,14,0.34
2022,4,15,0.08
2022,4,16,0.66
2022,4,17,1.8
2022,4,18,1.77
2022,4,19,23.43
2022,4,20,3.4
2022,4,21,2.66
2022,4,22,0.51
2022,4,23,2.97
2022,4,24,2.62
2022,4,25,11.12
2022,4,26,14.59
2022,4,27,8.06
2022,4,28,8.14
2022,4,29,8.69
2022,4,30,7.39
2022,5,1,3.19
2022,5,2,4.49
2022,5,3,2.38
2022,5,4,3.11
2022,5,5,0.19
2022,5,6,4.48
2022,5,7,6.63
2022,5,8,15.74
2022,5,9,7.3
2022,5,10,18.09
2022,5,11,8.28
2022,5,12,1.22
2022,5,13,4.68
2022,5,14,23.04
2022,5,15,4.33
2022,5,16,1.35
2022,5,17,2.12
2022,5,18,5.82
2022,5,19,6.18
2022,5,20,24.17
2022,5,21,9.23
2022,5,22,5.04
2022,5,23,1.84
2022,5,24,3.35
2022,5,25,16.63
2022,5,26,18.8
2022,5,27,11.23
2022,5,28,4.74
2022,5,29,8.45
2022,5,30,1.64
2022,5,31,6.39
2022,6,1,3.68
2022,6,2,1.32
2022,6,3,0.85
2022,6,4,2.38
2022,6,5,13.03
2022,6,6,10.95
2022,6,7,1.99
2022,6,8,4.54
2022,6,9,5.39
2022,6,10,3.39
2022,6,11,6.24
2022,6,12,17.92
2022,6,13,17.75
2022,6,14,6.27
2022,6,15,7.55
2022,6,16,8.25
2022,6,17,5.51
2022,6,18,1.44
2022,6,19,3.8
2022,6,20,2.49
2022,6,21,1.28
2022,6,22,0.02
2022,6,23,8.1
2022,6,24,2.05
2022,6,25,3.7
2022,6,26,7.52
2022,6,27,5.01
2022,6,28,1.86
2022,6,29,0.19
2022,6,30,0.52
2022,7,1,3.63
2022,7,2,10.82
2022,7,3,3.72
2022,7,4,9.88
2022,7,5,8.76
2022,7,6,21.12
2022,7,7,1.36
2022,7,8,0.44
2022,7,9,0.21
2022,7,10,0.84
2022,7,11,1.7
2022,7,12,2.8
2022,7,13,4.32
2022,7,14,3.64
2022,7,15,2.86
2022,7,16,2.25
2022,7,17,4.21
2022,7,18,1.2
2022,7,19,0.32
2022,7,20,0.02
2022,7,21,0.53
2022,7,22,0.04
2022,7,23,0.07
2022,7,24,0.04
2022,7,25,0.0
2022,7,26,0.0
2022,7,27,0.02
2022,7,28,0.07
2022,7,29,0.01
2022,7,30,0.08
2022,7,31,0.01
2022,8,1,0.01
2022,8,2,3.95
2022,8,3,0.08
2022,8,4,0.02
2022,8,5,0.01
2022,8,6,0.01
2022,8,7,0.08
2022,8,8,0.08
2022,8,9,0.02
2022,8,10,1.13
2022,8,11,0.98
2022,8,12,0.71
2022,8,13,8.12
2022,8,14,4.05
2022,8,15,0.87
2022,8,16,0.59
2022,8,17,0.29
2022,8,18,0.11
2022,8,19,0.04
2022,8,20,0.05
2022,8,21,0.12
2022,8,22,0.0
2022,8,23,0.01
2022,8,24,0.01
2022,8,25,0.01
2022,8,26,0.04
2022,8,27,0.06
2022,8,28,0.01
2022,8,29,0.02
2022,8,30,0.11
2022,8,31,0.54
2022,9,1,0.08
2022,9,2,0.02
2022,9,3,0.53
2022,9,4,0.62
2022,9,5,1.04
2022,9,6,0.92
2022,9,7,1.21
2022,9,8,1.01
2022,9,9,2.72
2022,9,10,1.78
2022,9,11,0.25
2022,9,12,0.02
2022,9,13,0.41
2022,9,14,0.17
2022,9,15,0.79
2022,9,16,1.7
2022,9,17,0.16
2022,9,18,0.01
2022,9,19,0.23
2022,9,20,0.35
2022,9,21,1.49
2022,9,22,0.74
2022,9,23,0.61
2022,9,24,0.03
2022,9,25,0.02
2022,9,26,0.04
2022,9,27,0.01
2022,9,28,0.02
2022,9,29,16.89
2022,9,30,37.26
2022,10,1,5.56
2022,10,2,5.16
2022,10,3,25.87
2022,10,4,10.66
2022,10,5,1.75
2022,10,6,2.26
2022,10,7,14.29
2022,10,8,9.05
2022,10,9,4.25
2022,10,10,5.82
2022,10,11,6.19
2022,10,12,2.65
2022,10,13,8.46
2022,10,14,12.03
2022,10,15,15.54
2022,10,16,3.56
2022,10,17,2.19
2022,10,18,14.06
2022,10,19,5.27
2022,10,20,4.22
2022,10,21,29.26
2022,10,22,0.94
2022,10,23,17.66
2022,10,24,3.87
2022,10,25,7.66
2022,10,26,10.88
2022,10,27,2.71
2022,10,28,0.62
2022,10,29,0.35
2022,10,30,1.14
2022,10,31,4.87
2022,11,1,4.06
2022,11,2,12.65
2022,11,3,11.6
2022,11,4,10.47
2022,11,5,2.01
2022,11,6,4.87
2022,11,7,6.75
2022,11,8,15.37
2022,11,9,20.79
2022,11,10,3.58
2022,11,11,7.48
2022,11,12,2.6
2022,11,13,2.41
2022,11,14,4.76
2022,11,15,7.78
2022,11,16,6.99
2022,11,17,2.82
2022,11,18,24.09
2022,11,19,13.86
2022,11,20,11.5
2022,11,21,7.3
2022,11,22,12.08
2022,11,23,8.14
2022,11,24,18.77
2022,11,25,11.4
2022,11,26,5.07
2022,11,27,4.93
2022,11,28,11.97
2022,11,29,11.93
2022,11,30,15.22
2022,12,1,13.07
2022,12,2,13.82
2022,12,3,0.87
2022,12,4,5.85
2022,12,5,2.7
2022,12,6,1.04
2022,12,7,2.2
2022,12,8,0.85
2022,12,9,26.56
2022,12,10,9.25
2022,12,11,1.88
2022,12,12,1.69
2022,12,13,1.54
2022,12,14,0.85
2022,12,15,1.78
2022,12,16,14.66
2022,12,17,4.93
2022,12,18,7.45
2022,12,19,20.72
2022,12,20,4.98
2022,12,21,13.29
2022,12,22,7.4
2022,12,23,8.79
2022,12,24,3.13
2022,12,25,7.75
2022,12,26,10.21
2022,12,27,14.62
2022,12,28,6.57
2022,12,29,12.01
2022,12,30,21.69
2022,12,31,30.35
2023,1,1,16.17
2023,1,2,1.64
2023,1,3,2.0
2023,1,4,1.75
2023,1,5,2.46
2023,1,6,5.43
2023,1,7,4.15
2023,1,8,12.44
2023,1,9,7.34
2023,1,10,4.47
2023,1,11,7.61
2023,1,12,4.78
2023,1,13,9.9
2023,1,14,8.7
2023,1,15,8.98
2023,1,16,2.83
2023,1,17,12.09
2023,1,18,14.43
2023,1,19,22.17
2023,1,20,10.73
2023,1,21,9.44
2023,1,22,38.4
2023,1,23,2.43
2023,1,24,6.62
2023,1,25,14.61
2023,1,26,17.67
2023,1,27,11.58
2023,1,28,20.1
2023,1,29,11.75
2023,1,30,2.62
2023,1,31,9.8
2023,2,1,5.3
2023,2,2,1.1
2023,2,3,0.46
2023,2,4,2.77
2023,2,5,2.92
2023,2,6,11.84
2023,2,7,21.11
2023,2,8,11.03
2023,2,9,23.58
2023,2,10,17.77
2023,2,11,11.95
2023,2,12,8.0
2023,2,13,18.46
2023,2,14,15.25
2023,2,15,24.92
2023,2,16,33.98
2023,2,17,34.54
2023,2,18,36.48
2023,2,19,33.25
2023,2,20,8.35
2023,2,21,60.85
2023,2,22,21.42
2023,2,23,6.09
2023,2,24,5.52
2023,2,25,5.88
2023,2,26,11.2
2023,2,27,30.09
2023,2,28,3.59
2023,3,1,12.75
2023,3,2,22.34
2023,3,3,2.97
2023,3,4,4.82
2023,3,5,30.67
2023,3,6,8.37
2023,3,7,1.18
2023,3,8,19.62
2023,3,9,6.19
2023,3,10,0.56
2023,3,11,1.15
2023,3,12,1.32
2023,3,13,8.75
2023,3,14,8.37
2023,3,15,1.31
2023,3,16,0.62
2023,3,17,0.29
2023,3,18,0.32
2023,3,19,1.52
2023,3,20,2.46
2023,3,21,12.9
2023,3,22,6.01
2023,3,23,1.6
2023,3,24,1.71
2023,3,25,8.84
2023,3,26,5.95
2023,3,27,6.96
2023,3,28,3.18
2023,3,29,5.35
2023,3,30,7.89
2023,3,31,15.37
2023,4,1,4.16
2023,4,2,3.68
2023,4,3,0.85
2023,4,4,0.56
2023,4,5,0.42
2023,4,6,5.98
2023,4,7,26.04
2023,4,8,17.34
2023,4,9,42.69
2023,4,10,18.96
2023,4,11,6.71
2023,4,12,9.57
2023,4,13,14.43
2023,4,14,6.52
2023,4,15,9.99
2023,4,16,9.74
2023,4,17,6.57
2023,4,18,0.72
2023,4,19,1.08
2023,4,20,1.62
2023,4,21,15.94
2023,4,22,8.95
2023,4,23,5.24
2023,4,24,3.26
2023,4,25,1.73
2023,4,26,1.65
2023,4,27,2.91
2023,4,28,15.94
2023,4,29,12.26
