-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -7.0667   longitude 113.5 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 35.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,9.38
2022,1,2,6.2
2022,1,3,19.38
2022,1,4,2.08
2022,1,5,1.92
2022,1,6,2.72
2022,1,7,38.23
2022,1,8,1.85
2022,1,9,12.64
2022,1,10,14.63
2022,1,11,21.98
2022,1,12,10.79
2022,1,13,3.4
2022,1,14,2.13
2022,1,15,3.22
2022,1,16,1.95
2022,1,17,6.06
2022,1,18,19.32
2022,1,19,8.9
2022,1,20,39.37
2022,1,21,11.88
2022,1,22,4.56
2022,1,23,2.51
2022,1,24,1.35
2022,1,25,5.54
2022,1,26,2.72
2022,1,27,3.31
2022,1,28,17.37
2022,1,29,3.06
2022,1,30,15.19
2022,1,31,13.33
2022,2,1,7.5
2022,2,2,3.0
2022,2,3,5.61
2022,2,4,21.34
2022,2,5,7.76
2022,2,6,10.15
2022,2,7,10.35
2022,2,8,3.5
2022,2,9,12.46
2022,2,10,28.91
2022,2,11,12.38
2022,2,12,9.25
2022,2,13,8.4
2022,2,14,7.15
2022,2,15,1.36
2022,2,16,4.05
2022,2,17,9.58
2022,2,18,24.0
2022,2,19,0.45
2022,2,20,4.59
2022,2,21,15.1
2022,2,22,18.06
2022,2,23,23.08
2022,2,24,18.02
2022,2,25,30.77
2022,2,26,11.12
2022,2,27,6.31
2022,2,28,11.4
2022,3,1,7.43
2022,3,2,4.45
2022,3,3,6.15
2022,3,4,7.2
2022,3,5,26.26
2022,3,6,12.31
2022,3,7,34.86
2022,3,8,7.7
2022,3,9,4.12
2022,3,10,9.65
2022,3,11,10.25
2022,3,12,4.72
2022,3,13,9.31
2022,3,14,6.56
2022,3,15,2.06
2022,3,16,14.93
2022,3,17,0.57
2022,3,18,3.84
2022,3,19,23.94
2022,3,20,20.47
2022,3,21,8.76
2022,3,22,10.81
2022,3,23,3.17
2022,3,24,2.55
2022,3,25,11.18
2022,3,26,9.25
2022,3,27,5.5
2022,3,28,9.11
2022,3,29,7.85
2022,3,30,9.23
2022,3,31,0.79
2022,4,1,8.9
2022,4,2,0.83
2022,4,3,7.94
2022,4,4,19.44
2022,4,5,1.58
2022,4,6,1.47
2022,4,7,0.21
2022,4,8,0.12
2022,4,9,0.41
2022,4,10,0.23
2022,4,11,0.04
2022,4,12,0.02
2022,4,13,0.15
2022,4,14,0.02
2022,4,15,0.02
2022,4,16,0.82
2022,4,17,0.44
2022,4,18,4.77
2022,4,19,20.15
2022,4,20,4.26
2022,4,21,2.35
2022,4,22,0.98
2022,4,23,1.78
2022,4,24,2.35
2022,4,25,4.72
2022,4,26,3.76
2022,4,27,11.29
