-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -7.9334   longitude 111.5 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 316.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,13.41
2022,1,2,14.76
2022,1,3,5.51
2022,1,4,4.47
2022,1,5,0.86
2022,1,6,5.65
2022,1,7,29.98
2022,1,8,3.16
2022,1,9,13.53
2022,1,10,4.55
2022,1,11,18.21
2022,1,12,7.08
2022,1,13,3.42
2022,1,14,1.05
2022,1,15,3.6
2022,1,16,2.06
2022,1,17,5.47
2022,1,18,13.2
2022,1,19,25.54
2022,1,20,15.64
2022,1,21,13.59
2022,1,22,4.29
2022,1,23,0.58
2022,1,24,0.11
2022,1,25,1.76
2022,1,26,5.48
2022,1,27,2.74
2022,1,28,12.13
2022,1,29,16.78
2022,1,30,12.56
2022,1,31,2.69
2022,2,1,3.63
2022,2,2,3.19
2022,2,3,4.68
2022,2,4,9.2
2022,2,5,6.89
2022,2,6,18.44
2022,2,7,6.62
2022,2,8,4.41
2022,2,9,16.84
2022,2,10,14.84
2022,2,11,11.95
2022,2,12,12.94
2022,2,13,21.16
2022,2,14,8.11
2022,2,15,3.76
2022,2,16,1.84
2022,2,17,14.06
2022,2,18,18.16
2022,2,19,2.64
2022,2,20,5.94
2022,2,21,13.79
2022,2,22,8.96
2022,2,23,14.33
2022,2,24,35.16
2022,2,25,7.23
2022,2,26,4.47
2022,2,27,15.21
2022,2,28,13.87
2022,3,1,3.66
2022,3,2,3.68
2022,3,3,3.73
2022,3,4,7.43
2022,3,5,9.69
2022,3,6,9.72
2022,3,7,16.23
2022,3,8,12.2
2022,3,9,9.35
2022,3,10,18.9
2022,3,11,5.67
2022,3,12,15.67
2022,3,13,23.79
2022,3,14,9.41
2022,3,15,10.41
2022,3,16,23.04
2022,3,17,1.12
2022,3,18,1.1
2022,3,19,6.69
2022,3,20,17.6
2022,3,21,4.46
2022,3,22,12.56
2022,3,23,2.79
2022,3,24,7.68
2022,3,25,13.43
2022,3,26,11.65
2022,3,27,15.57
2022,3,28,3.7
2022,3,29,4.47
2022,3,30,3.97
2022,3,31,10.64
2022,4,1,11.79
2022,4,2,4.06
2022,4,3,16.71
2022,4,4,8.68
2022,4,5,1.48
2022,4,6,0.38
2022,4,7,1.95
2022,4,8,0.31
2022,4,9,4.87
2022,4,10,1.48
2022,4,11,12.86
2022,4,12,0.75
2022,4,13,1.23
2022,4,14,1.24
2022,4,15,2.01
2022,4,16,0.74
2022,4,17,8.51
2022,4,18,6.13
2022,4,19,25.12
2022,4,20,12.13
2022,4,21,6.23
2022,4,22,0.68
2022,4,23,2.53
2022,4,24,2.75
2022,4,25,12.54
2022,4,26,8.81
2022,4,27,4.62
2022,4,28,6.6
2022,4,29,6.94
2022,4,30,4.08
2022,5,1,2.66
2022,5,2,2.43
2022,5,3,4.05
2022,5,4,2.0
2022,5,5,1.43
2022,5,6,2.51
2022,5,7,20.24
2022,5,8,18.0
2022,5,9,10.66
2022,5,10,11.6
2022,5,11,12.69
2022,5,12,0.98
2022,5,13,2.88
2022,5,14,15.63
2022,5,15,3.52
2022,5,16,0.39
2022,5,17,2.39
2022,5,18,8.03
2022,5,19,10.4
2022,5,20,17.19
2022,5,21,20.55
2022,5,22,3.64
2022,5,23,1.13
2022,5,24,2.39
2022,5,25,5.39
2022,5,26,21.45
2022,5,27,6.33
2022,5,28,3.64
2022,5,29,9.23
2022,5,30,1.31
2022,5,31,3.06
2022,6,1,4.24
2022,6,2,1.56
2022,6,3,1.48
2022,6,4,1.55
2022,6,5,19.02
2022,6,6,22.04
2022,6,7,3.68
2022,6,8,3.49
2022,6,9,4.34
2022,6,10,3.37
2022,6,11,6.43
2022,6,12,20.33
2022,6,13,15.1
2022,6,14,6.52
2022,6,15,6.02
2022,6,16,5.7
2022,6,17,3.7
2022,6,18,1.89
2022,6,19,1.38
2022,6,20,11.79
2022,6,21,3.47
2022,6,22,0.26
2022,6,23,8.29
2022,6,24,1.77
2022,6,25,11.82
2022,6,26,14.9
2022,6,27,6.29
2022,6,28,0.63
2022,6,29,0.28
2022,6,30,0.8
2022,7,1,3.74
2022,7,2,10.31
2022,7,3,4.81
2022,7,4,5.7
2022,7,5,13.68
2022,7,6,8.25
2022,7,7,1.16
2022,7,8,0.81
2022,7,9,0.55
2022,7,10,1.2
2022,7,11,1.79
2022,7,12,3.15
2022,7,13,14.65
2022,7,14,9.32
2022,7,15,5.46
2022,7,16,15.73
2022,7,17,3.6
2022,7,18,1.35
2022,7,19,1.27
2022,7,20,0.06
2022,7,21,0.02
2022,7,22,0.02
2022,7,23,0.06
2022,7,24,0.01
2022,7,25,0.04
2022,7,26,0.02
2022,7,27,0.09
2022,7,28,0.13
2022,7,29,0.12
2022,7,30,0.32
2022,7,31,0.0
2022,8,1,0.02
2022,8,2,1.66
2022,8,3,0.33
2022,8,4,0.07
2022,8,5,0.18
2022,8,6,0.35
2022,8,7,0.61
2022,8,8,0.24
2022,8,9,0.6
2022,8,10,8.05
2022,8,11,4.2
2022,8,12,1.66
2022,8,13,8.83
2022,8,14,8.09
2022,8,15,1.78
2022,8,16,3.04
2022,8,17,0.05
2022,8,18,0.16
2022,8,19,0.11
2022,8,20,0.43
2022,8,21,0.92
2022,8,22,0.07
2022,8,23,0.09
2022,8,24,0.01
2022,8,25,0.09
2022,8,26,0.14
2022,8,27,0.6
2022,8,28,0.11
2022,8,29,0.1
2022,8,30,0.47
2022,8,31,0.49
2022,9,1,0.1
2022,9,2,0.03
2022,9,3,0.24
2022,9,4,0.38
2022,9,5,0.47
2022,9,6,0.67
2022,9,7,6.08
2022,9,8,1.89
2022,9,9,3.59
2022,9,10,8.36
2022,9,11,3.87
2022,9,12,1.29
2022,9,13,2.59
2022,9,14,1.11
2022,9,15,6.06
2022,9,16,9.67
2022,9,17,0.13
2022,9,18,0.08
2022,9,19,2.53
2022,9,20,1.16
2022,9,21,2.12
2022,9,22,4.3
2022,9,23,2.56
2022,9,24,0.2
2022,9,25,0.18
2022,9,26,0.47
2022,9,27,0.13
2022,9,28,0.48
2022,9,29,16.05
2022,9,30,21.85
2022,10,1,3.31
2022,10,2,13.9
2022,10,3,13.35
2022,10,4,4.29
2022,10,5,7.95
2022,10,6,9.06
2022,10,7,16.45
2022,10,8,9.33
2022,10,9,2.86
2022,10,10,15.85
2022,10,11,6.33
2022,10,12,3.95
2022,10,13,13.87
2022,10,14,16.3
2022,10,15,19.99
2022,10,16,3.34
2022,10,17,2.87
2022,10,18,14.12
2022,10,19,9.5
2022,10,20,4.59
2022,10,21,15.84
2022,10,22,1.67
