-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -7.8501   longitude 113.3 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 376.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,5.55
2022,1,2,11.75
2022,1,3,10.26
2022,1,4,3.51
2022,1,5,3.27
2022,1,6,4.5
2022,1,7,22.97
2022,1,8,3.89
2022,1,9,28.26
2022,1,10,8.76
2022,1,11,23.8
2022,1,12,4.55
2022,1,13,3.2
2022,1,14,1.71
2022,1,15,7.22
2022,1,16,1.57
2022,1,17,7.35
2022,1,18,21.14
2022,1,19,21.28
2022,1,20,29.86
2022,1,21,4.65
2022,1,22,4.69
2022,1,23,1.28
2022,1,24,0.15
2022,1,25,1.11
2022,1,26,9.4
2022,1,27,3.61
2022,1,28,17.31
2022,1,29,13.03
2022,1,30,11.55
2022,1,31,5.69
2022,2,1,5.3
2022,2,2,2.24
2022,2,3,7.0
2022,2,4,14.28
2022,2,5,3.25
2022,2,6,6.4
2022,2,7,6.39
2022,2,8,2.29
2022,2,9,18.27
2022,2,10,13.1
2022,2,11,7.54
2022,2,12,10.21
2022,2,13,7.49
2022,2,14,9.14
2022,2,15,1.83
2022,2,16,4.58
2022,2,17,4.03
2022,2,18,13.3
2022,2,19,2.11
2022,2,20,5.83
2022,2,21,15.67
2022,2,22,63.21
2022,2,23,29.52
2022,2,24,16.89
2022,2,25,15.32
2022,2,26,7.39
2022,2,27,6.58
2022,2,28,8.79
2022,3,1,6.61
2022,3,2,2.87
2022,3,3,8.31
2022,3,4,11.9
2022,3,5,13.58
2022,3,6,20.52
2022,3,7,19.42
2022,3,8,19.9
2022,3,9,6.12
2022,3,10,8.17
2022,3,11,18.94
2022,3,12,4.8
2022,3,13,8.78
2022,3,14,6.44
2022,3,15,2.14
2022,3,16,9.09
2022,3,17,0.29
2022,3,18,1.69
2022,3,19,14.58
2022,3,20,23.07
2022,3,21,21.25
2022,3,22,14.99
2022,3,23,6.45
2022,3,24,12.61
2022,3,25,17.43
2022,3,26,5.76
2022,3,27,19.92
2022,3,28,2.0
2022,3,29,6.17
2022,3,30,5.7
2022,3,31,1.35
2022,4,1,10.31
2022,4,2,0.97
2022,4,3,10.66
2022,4,4,11.57
2022,4,5,0.15
2022,4,6,0.49
2022,4,7,0.24
2022,4,8,0.17
2022,4,9,0.5
2022,4,10,0.15
2022,4,11,0.04
2022,4,12,0.05
2022,4,13,0.25
2022,4,14,0.14
2022,4,15,0.16
2022,4,16,0.15
2022,4,17,0.26
2022,4,18,2.87
2022,4,19,16.3
2022,4,20,8.57
2022,4,21,4.44
2022,4,22,5.5
2022,4,23,1.44
2022,4,24,3.79
2022,4,25,4.48
2022,4,26,4.53
2022,4,27,9.16
2022,4,28,12.69
2022,4,29,19.49
2022,4,30,8.66
2022,5,1,2.44
2022,5,2,1.64
2022,5,3,3.17
2022,5,4,0.9
2022,5,5,1.23
2022,5,6,1.62
2022,5,7,3.64
2022,5,8,7.45
2022,5,9,19.98
2022,5,10,12.75
2022,5,11,6.12
2022,5,12,3.65
2022,5,13,11.87
2022,5,14,8.62
