-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -7.6835   longitude 114.0333 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 54.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,7.92
2022,1,2,9.73
2022,1,3,20.5
2022,1,4,3.02
2022,1,5,3.53
2022,1,6,3.98
2022,1,7,31.52
2022,1,8,5.55
2022,1,9,17.6
2022,1,10,11.0
2022,1,11,25.74
2022,1,12,6.13
2022,1,13,1.83
2022,1,14,0.8
2022,1,15,2.87
2022,1,16,1.57
2022,1,17,5.46
2022,1,18,18.94
2022,1,19,16.21
2022,1,20,35.98
2022,1,21,7.29
2022,1,22,5.44
2022,1,23,1.66
2022,1,24,0.29
2022,1,25,1.72
2022,1,26,4.33
2022,1,27,2.07
2022,1,28,16.13
2022,1,29,10.5
2022,1,30,18.56
2022,1,31,11.24
2022,2,1,6.23
2022,2,2,2.72
2022,2,3,6.58
2022,2,4,18.61
2022,2,5,4.1
2022,2,6,7.2
2022,2,7,9.32
2022,2,8,3.1
2022,2,9,19.3
2022,2,10,17.41
2022,2,11,10.36
2022,2,12,12.11
2022,2,13,8.27
2022,2,14,6.94
2022,2,15,0.58
2022,2,16,4.16
2022,2,17,6.18
2022,2,18,18.22
2022,2,19,0.43
2022,2,20,3.19
2022,2,21,15.31
2022,2,22,30.84
2022,2,23,27.5
2022,2,24,15.81
2022,2,25,28.12
2022,2,26,9.37
2022,2,27,7.44
2022,2,28,13.24
2022,3,1,7.0
2022,3,2,2.91
2022,3,3,4.52
2022,3,4,8.02
2022,3,5,25.77
2022,3,6,15.23
2022,3,7,27.51
2022,3,8,13.28
2022,3,9,5.22
2022,3,10,9.34
2022,3,11,19.65
2022,3,12,4.63
2022,3,13,11.8
2022,3,14,9.02
2022,3,15,1.49
2022,3,16,11.34
2022,3,17,0.13
2022,3,18,1.48
2022,3,19,22.35
2022,3,20,24.09
2022,3,21,11.7
2022,3,22,12.58
2022,3,23,4.38
2022,3,24,4.91
2022,3,25,16.59
2022,3,26,10.36
2022,3,27,8.72
2022,3,28,9.53
2022,3,29,7.36
2022,3,30,7.06
2022,3,31,0.39
2022,4,1,11.7
2022,4,2,0.18
2022,4,3,10.91
2022,4,4,21.65
2022,4,5,0.55
2022,4,6,0.63
2022,4,7,0.07
2022,4,8,0.02
2022,4,9,0.47
2022,4,10,0.21
2022,4,11,0.0
2022,4,12,0.0
2022,4,13,0.28
2022,4,14,0.04
2022,4,15,0.01
2022,4,16,0.05
2022,4,17,0.04
2022,4,18,2.37
2022,4,19,21.6
2022,4,20,4.78
2022,4,21,3.63
2022,4,22,0.89
2022,4,23,1.58
2022,4,24,3.06
2022,4,25,5.54
2022,4,26,5.07
2022,4,27,10.69
2022,4,28,11.78
2022,4,29,11.07
2022,4,30,6.67
2022,5,1,2.93
2022,5,2,2.49
2022,5,3,3.02
2022,5,4,1.93
2022,5,5,0.63
2022,5,6,2.35
2022,5,7,3.95
2022,5,8,15.5
2022,5,9,13.14
2022,5,10,14.5
2022,5,11,9.31
2022,5,12,0.13
2022,5,13,13.62
2022,5,14,17.69
2022,5,15,5.51
2022,5,16,0.18
2022,5,17,1.6
2022,5,18,3.52
2022,5,19,2.66
2022,5,20,26.82
2022,5,21,8.26
2022,5,22,4.09
2022,5,23,0.66
2022,5,24,2.76
2022,5,25,10.74
2022,5,26,24.11
2022,5,27,9.77
2022,5,28,3.67
2022,5,29,7.22
2022,5,30,1.48
2022,5,31,6.71
2022,6,1,10.15
2022,6,2,0.57
2022,6,3,0.15
2022,6,4,0.97
2022,6,5,9.4
2022,6,6,7.64
2022,6,7,1.43
2022,6,8,2.55
2022,6,9,4.93
2022,6,10,3.44
2022,6,11,3.69
2022,6,12,13.71
2022,6,13,16.71
2022,6,14,10.23
2022,6,15,7.56
2022,6,16,7.05
2022,6,17,3.93
2022,6,18,2.03
2022,6,19,7.17
2022,6,20,1.02
2022,6,21,0.02
2022,6,22,0.01
2022,6,23,7.01
2022,6,24,1.12
2022,6,25,0.15
2022,6,26,2.63
2022,6,27,3.29
2022,6,28,0.16
2022,6,29,0.02
2022,6,30,0.03
2022,7,1,1.93
2022,7,2,10.48
2022,7,3,3.0
2022,7,4,9.99
2022,7,5,15.18
2022,7,6,9.7
2022,7,7,0.31
2022,7,8,0.09
2022,7,9,0.01
2022,7,10,0.59
2022,7,11,0.52
2022,7,12,0.73
2022,7,13,1.62
2022,7,14,1.01
2022,7,15,2.0
2022,7,16,0.21
2022,7,17,0.28
2022,7,18,0.11
2022,7,19,0.02
2022,7,20,0.0
2022,7,21,0.05
2022,7,22,0.25
2022,7,23,0.42
2022,7,24,0.0
2022,7,25,0.0
2022,7,26,0.0
2022,7,27,0.01
2022,7,28,0.0
2022,7,29,0.03
2022,7,30,0.15
2022,7,31,0.0
2022,8,1,0.01
2022,8,2,3.79
2022,8,3,0.29
2022,8,4,0.03
2022,8,5,0.01
2022,8,6,0.15
2022,8,7,1.44
2022,8,8,0.12
2022,8,9,0.17
2022,8,10,0.15
2022,8,11,0.11
2022,8,12,0.23
2022,8,13,5.41
2022,8,14,4.27
2022,8,15,1.13
2022,8,16,0.31
2022,8,17,0.07
2022,8,18,0.01
2022,8,19,0.03
2022,8,20,0.0
2022,8,21,0.01
2022,8,22,0.01
2022,8,23,0.0
2022,8,24,0.0
2022,8,25,0.0
2022,8,26,0.01
2022,8,27,0.0
2022,8,28,0.0
2022,8,29,0.2
2022,8,30,0.72
2022,8,31,1.06
2022,9,1,0.05
2022,9,2,0.0
2022,9,3,0.04
2022,9,4,0.07
2022,9,5,0.03
2022,9,6,0.93
2022,9,7,0.67
2022,9,8,0.64
2022,9,9,0.83
2022,9,10,1.33
2022,9,11,0.42
2022,9,12,0.0
2022,9,13,0.01
2022,9,14,0.68
2022,9,15,1.58
2022,9,16,0.31
2022,9,17,0.0
2022,9,18,0.0
2022,9,19,0.0
2022,9,20,0.67
2022,9,21,0.76
2022,9,22,0.06
2022,9,23,0.03
2022,9,24,0.0
2022,9,25,0.0
2022,9,26,0.0
2022,9,27,0.0
2022,9,28,0.0
2022,9,29,12.59
2022,9,30,40.92
2022,10,1,9.47
2022,10,2,7.66
2022,10,3,34.55
2022,10,4,5.97
2022,10,5,0.25
2022,10,6,1.52
2022,10,7,13.82
2022,10,8,9.25
2022,10,9,4.72
2022,10,10,1.82
2022,10,11,4.34
2022,10,12,2.37
2022,10,13,8.12
2022,10,14,14.08
2022,10,15,18.12
2022,10,16,1.91
2022,10,17,8.28
2022,10,18,15.4
2022,10,19,5.37
2022,10,20,4.4
2022,10,21,28.85
2022,10,22,1.48
2022,10,23,13.16
2022,10,24,9.24
2022,10,25,9.02
2022,10,26,14.21
2022,10,27,11.14
2022,10,28,0.15
2022,10,29,0.01
2022,10,30,0.04
2022,10,31,5.54
2022,11,1,5.01
2022,11,2,13.39
2022,11,3,8.24
2022,11,4,8.49
2022,11,5,0.15
2022,11,6,3.14
2022,11,7,9.5
2022,11,8,14.23
2022,11,9,27.94
2022,11,10,1.98
2022,11,11,2.66
2022,11,12,0.77
2022,11,13,3.66
2022,11,14,5.31
2022,11,15,8.31
2022,11,16,6.17
2022,11,17,1.21
2022,11,18,33.74
2022,11,19,18.15
2022,11,20,13.28
2022,11,21,5.12
2022,11,22,11.29
2022,11,23,8.72
2022,11,24,29.09
2022,11,25,7.3
2022,11,26,4.53
2022,11,27,2.18
2022,11,28,20.22
2022,11,29,16.33
2022,11,30,16.42
2022,12,1,19.27
2022,12,2,5.48
2022,12,3,0.76
2022,12,4,6.06
2022,12,5,4.93
2022,12,6,0.61
2022,12,7,1.29
2022,12,8,0.32
2022,12,9,27.32
2022,12,10,10.55
2022,12,11,1.31
2022,12,12,0.07
2022,12,13,0.55
2022,12,14,0.26
2022,12,15,0.57
2022,12,16,9.97
2022,12,17,4.6
2022,12,18,8.07
2022,12,19,3.72
2022,12,20,9.14
2022,12,21,15.4
2022,12,22,3.16
2022,12,23,3.69
2022,12,24,5.38
2022,12,25,1.94
2022,12,26,3.32
2022,12,27,2.13
2022,12,28,5.22
2022,12,29,13.98
2022,12,30,14.88
2022,12,31,18.79
2023,1,1,16.77
2023,1,2,1.18
2023,1,3,0.23
2023,1,4,0.11
2023,1,5,1.34
2023,1,6,1.84
2023,1,7,3.55
2023,1,8,9.0
2023,1,9,8.32
2023,1,10,3.14
2023,1,11,5.84
2023,1,12,3.5
2023,1,13,2.85
2023,1,14,11.5
2023,1,15,8.37
2023,1,16,4.02
2023,1,17,8.25
2023,1,18,8.18
2023,1,19,18.76
2023,1,20,9.54
2023,1,21,14.0
2023,1,22,41.09
2023,1,23,0.94
2023,1,24,4.6
2023,1,25,7.97
2023,1,26,19.06
2023,1,27,15.81
2023,1,28,15.56
2023,1,29,11.72
2023,1,30,2.57
2023,1,31,10.52
2023,2,1,4.82
2023,2,2,0.9
2023,2,3,0.06
2023,2,4,4.79
2023,2,5,3.6
2023,2,6,10.33
2023,2,7,11.0
2023,2,8,8.4
2023,2,9,24.7
2023,2,10,25.75
2023,2,11,8.55
2023,2,12,20.69
2023,2,13,12.43
2023,2,14,20.47
2023,2,15,15.75
2023,2,16,26.35
2023,2,17,34.63
2023,2,18,30.73
2023,2,19,45.14
2023,2,20,6.86
2023,2,21,41.99
2023,2,22,27.95
2023,2,23,4.09
2023,2,24,3.35
2023,2,25,3.6
2023,2,26,7.36
2023,2,27,12.93
2023,2,28,3.42
2023,3,1,9.57
2023,3,2,18.9
2023,3,3,3.01
2023,3,4,2.25
2023,3,5,22.96
2023,3,6,13.99
2023,3,7,0.42
2023,3,8,19.34
2023,3,9,4.91
2023,3,10,0.47
2023,3,11,0.05
2023,3,12,2.86
2023,3,13,5.85
2023,3,14,9.17
2023,3,15,1.57
2023,3,16,0.48
2023,3,17,0.05
2023,3,18,0.44
2023,3,19,2.72
2023,3,20,3.9
2023,3,21,8.52
2023,3,22,11.61
2023,3,23,4.63
2023,3,24,2.19
2023,3,25,4.44
2023,3,26,2.6
2023,3,27,3.35
2023,3,28,3.96
2023,3,29,12.55
2023,3,30,7.08
2023,3,31,16.69
2023,4,1,3.31
2023,4,2,3.41
2023,4,3,3.94
2023,4,4,2.99
2023,4,5,0.62
2023,4,6,14.82
2023,4,7,5.83
2023,4,8,7.2
2023,4,9,49.3
2023,4,10,14.27
2023,4,11,7.93
2023,4,12,7.87
2023,4,13,12.65
2023,4,14,6.15
2023,4,15,12.77
2023,4,16,18.36
2023,4,17,5.89
2023,4,18,0.14
2023,4,19,1.99
2023,4,20,1.74
2023,4,21,14.84
2023,4,22,3.94
2023,4,23,3.72
2023,4,24,2.94
2023,4,25,1.26
2023,4,26,1.62
2023,4,27,0.8
2023,4,28,15.94
2023,4,29,8.25
2023,4,30,2.07
2023,5,1,2.09
2023,5,2,3.86
2023,5,3,16.71
2023,5,4,4.19
2023,5,5,1.36
2023,5,6,1.7
2023,5,7,0.27
2023,5,8,0.04
2023,5,9,4.24
2023,5,10,3.54
2023,5,11,5.6
2023,5,12,0.91
2023,5,13,0.0
2023,5,14,0.0
2023,5,15,0.0
2023,5,16,0.0
2023,5,17,0.0
2023,5,18,0.01
2023,5,19,0.18
2023,5,20,0.55
2023,5,21,0.0
2023,5,22,0.01
2023,5,23,0.0
2023,5,24,0.0
2023,5,25,0.0
2023,5,26,0.0
2023,5,27,0.0
2023,5,28,0.02
2023,5,29,0.05
2023,5,30,0.02
2023,5,31,0.01
2023,6,1,0.0
2023,6,2,0.0
2023,6,3,0.0
2023,6,4,0.12
2023,6,5,0.17
2023,6,6,3.87
2023,6,7,2.05
2023,6,8,0.44
2023,6,9,0.05
2023,6,10,0.06
2023,6,11,0.97
2023,6,12,2.82
2023,6,13,0.28
2023,6,14,0.0
2023,6,15,0.0
2023,6,16,0.0
2023,6,17,0.0
2023,6,18,0.0
2023,6,19,0.0
2023,6,20,0.0
2023,6,21,0.0
2023,6,22,0.0
2023,6,23,0.0
2023,6,24,0.0
2023,6,25,0.77
2023,6,26,2.49
2023,6,27,0.0
2023,6,28,0.0
2023,6,29,0.01
2023,6,30,0.26
2023,7,1,6.27
2023,7,2,1.96
2023,7,3,0.39
2023,7,4,9.52
2023,7,5,8.45
2023,7,6,3.56
2023,7,7,29.37
2023,7,8,4.66
2023,7,9,0.11
2023,7,10,0.01
2023,7,11,0.0
2023,7,12,0.06
2023,7,13,0.96
2023,7,14,0.12
2023,7,15,0.01
2023,7,16,0.0
2023,7,17,0.0
2023,7,18,0.0
2023,7,19,0.0
2023,7,20,0.0
2023,7,21,0.0
2023,7,22,0.0
2023,7,23,0.0
2023,7,24,0.02
2023,7,25,0.02
2023,7,26,0.0
2023,7,27,0.0
2023,7,28,0.0
2023,7,29,0.02
2023,7,30,0.17
2023,7,31,0.13
2023,8,1,0.0
2023,8,2,0.0
2023,8,3,0.0
2023,8,4,0.0
2023,8,5,0.08
2023,8,6,0.07
2023,8,7,0.01
2023,8,8,0.0
2023,8,9,0.0
2023,8,10,0.0
2023,8,11,0.0
2023,8,12,0.11
2023,8,13,0.25
2023,8,14,0.07
2023,8,15,0.02
2023,8,16,0.06
2023,8,17,0.39
2023,8,18,0.17
2023,8,19,0.01
2023,8,20,0.13
2023,8,21,0.29
2023,8,22,0.05
2023,8,23,0.0
2023,8,24,0.01
2023,8,25,0.01
2023,8,26,0.0
2023,8,27,0.19
2023,8,28,0.16
2023,8,29,0.0
2023,8,30,0.0
2023,8,31,0.0
2023,9,1,0.0
2023,9,2,0.0
2023,9,3,0.0
2023,9,4,0.0
2023,9,5,0.0
2023,9,6,0.0
2023,9,7,0.0
2023,9,8,0.0
2023,9,9,0.0
2023,9,10,0.0
2023,9,11,0.0
2023,9,12,0.02
2023,9,13,0.37
2023,9,14,0.2
2023,9,15,0.01
2023,9,16,0.01
2023,9,17,0.55
2023,9,18,0.74
2023,9,19,0.0
2023,9,20,0.0
2023,9,21,0.0
2023,9,22,0.0
2023,9,23,0.0
2023,9,24,0.0
2023,9,25,0.0
2023,9,26,0.0
2023,9,27,0.0
2023,9,28,0.0
2023,9,29,0.0
2023,9,30,0.0
2023,10,1,0.0
2023,10,2,0.0
2023,10,3,0.0
2023,10,4,0.0
2023,10,5,0.0
2023,10,6,0.0
2023,10,7,0.0
2023,10,8,0.0
2023,10,9,0.0
2023,10,10,0.0
2023,10,11,0.0
2023,10,12,0.0
2023,10,13,0.0
2023,10,14,0.0
2023,10,15,0.0
2023,10,16,0.0
2023,10,17,0.0
2023,10,18,0.0
2023,10,19,0.0
2023,10,20,0.0
2023,10,21,0.0
2023,10,22,0.0
2023,10,23,0.03
2023,10,24,0.22
2023,10,25,0.0
2023,10,26,0.0
2023,10,27,0.0
2023,10,28,0.0
2023,10,29,0.0
2023,10,30,0.0
2023,10,31,0.0
2023,11,1,0.0
2023,11,2,0.01
2023,11,3,0.13
2023,11,4,9.83
2023,11,5,2.09
2023,11,6,0.0
2023,11,7,0.0
2023,11,8,0.0
2023,11,9,1.48
2023,11,10,2.8
2023,11,11,0.02
2023,11,12,0.04
2023,11,13,0.86
2023,11,14,1.54
2023,11,15,0.66
2023,11,16,2.01
2023,11,17,4.96
2023,11,18,0.02
2023,11,19,0.0
2023,11,20,0.0
2023,11,21,0.0
2023,11,22,0.02
2023,11,23,0.44
2023,11,24,1.29
2023,11,25,3.18
2023,11,26,2.99
2023,11,27,8.78
2023,11,28,32.77
2023,11,29,5.26
2023,11,30,1.94
2023,12,1,187.6
2023,12,2,35.97
2023,12,3,4.51
2023,12,4,153.17
2023,12,5,52.49
2023,12,6,0.66
2023,12,7,12.44
2023,12,8,12.18
2023,12,9,5.31
2023,12,10,16.69
2023,12,11,4.5
2023,12,12,0.91
2023,12,13,9.31
2023,12,14,15.14
2023,12,15,7.85
2023,12,16,9.07
2023,12,17,0.17
2023,12,18,0.02
2023,12,19,0.0
2023,12,20,0.0
2023,12,21,1.37
2023,12,22,0.51
2023,12,23,0.01
2023,12,24,0.01
2023,12,25,20.68
2023,12,26,0.7
2023,12,27,0.39
2023,12,28,0.41
2023,12,29,5.51
2023,12,30,7.79
2023,12,31,1.07
2024,1,1,7.04
2024,1,2,1.23
2024,1,3,1.96
2024,1,4,1.94
2024,1,5,0.43
2024,1,6,1.23
2024,1,7,2.77
2024,1,8,22.69
2024,1,9,11.92
2024,1,10,10.44
2024,1,11,1.08
2024,1,12,0.95
2024,1,13,0.21
2024,1,14,0.33
2024,1,15,2.27
2024,1,16,21.38
2024,1,17,20.6
2024,1,18,22.1
2024,1,19,23.71
2024,1,20,2.1
2024,1,21,3.47
2024,1,22,8.87
2024,1,23,1.67
2024,1,24,0.92
2024,1,25,1.46
2024,1,26,5.96
2024,1,27,1.62
2024,1,28,3.89
2024,1,29,24.82
2024,1,30,6.87
2024,1,31,31.35
2024,2,1,18.23
2024,2,2,6.58
2024,2,3,15.87
2024,2,4,8.34
2024,2,5,33.35
2024,2,6,77.07
2024,2,7,15.5
2024,2,8,1.43
2024,2,9,7.77
2024,2,10,18.34
2024,2,11,41.81
2024,2,12,7.1
2024,2,13,15.0
2024,2,14,3.8
2024,2,15,0.27
2024,2,16,0.19
2024,2,17,4.89
2024,2,18,9.0
2024,2,19,4.11
2024,2,20,2.31
2024,2,21,3.99
2024,2,22,13.34
2024,2,23,1.74
2024,2,24,0.74
2024,2,25,2.26
2024,2,26,19.66
2024,2,27,3.94
2024,2,28,12.07
2024,2,29,11.79
2024,3,1,10.86
2024,3,2,4.1
2024,3,3,0.58
2024,3,4,6.13
2024,3,5,2.04
2024,3,6,6.62
2024,3,7,3.55
2024,3,8,13.53
2024,3,9,17.55
2024,3,10,2.82
2024,3,11,5.77
2024,3,12,9.83
2024,3,13,18.81
2024,3,14,12.3
2024,3,15,8.23
2024,3,16,3.87
2024,3,17,3.46
2024,3,18,1.29
2024,3,19,0.73
2024,3,20,0.63
2024,3,21,2.53
2024,3,22,1.68
2024,3,23,1.29
2024,3,24,0.39
2024,3,25,1.68
2024,3,26,0.49
2024,3,27,0.01
2024,3,28,1.79
2024,3,29,1.81
2024,3,30,2.87
2024,3,31,4.53
2024,4,1,3.57
2024,4,2,6.14
2024,4,3,5.2
2024,4,4,13.87
2024,4,5,60.96
2024,4,6,5.69
2024,4,7,20.5
2024,4,8,18.55
2024,4,9,16.13
2024,4,10,4.36
2024,4,11,2.63
2024,4,12,2.73
2024,4,13,3.14
2024,4,14,6.32
2024,4,15,3.87
2024,4,16,1.56
