-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -8.1598   longitude 111.6264 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 262.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,13.99
2022,1,2,15.07
2022,1,3,6.21
2022,1,4,4.92
2022,1,5,0.9
2022,1,6,7.16
2022,1,7,29.61
2022,1,8,3.09
2022,1,9,11.7
2022,1,10,4.19
2022,1,11,22.43
2022,1,12,6.42
2022,1,13,4.04
2022,1,14,0.92
2022,1,15,3.4
2022,1,16,1.94
2022,1,17,5.95
2022,1,18,13.61
2022,1,19,25.02
2022,1,20,16.55
2022,1,21,13.67
2022,1,22,4.43
2022,1,23,0.63
2022,1,24,0.06
2022,1,25,1.5
2022,1,26,5.69
2022,1,27,2.78
2022,1,28,13.44
2022,1,29,19.01
2022,1,30,13.75
2022,1,31,2.38
2022,2,1,3.68
2022,2,2,3.09
2022,2,3,5.0
2022,2,4,9.02
2022,2,5,6.43
2022,2,6,19.85
2022,2,7,6.49
2022,2,8,4.82
2022,2,9,17.18
2022,2,10,14.42
2022,2,11,11.64
2022,2,12,13.14
2022,2,13,17.86
2022,2,14,9.4
2022,2,15,3.53
2022,2,16,2.24
2022,2,17,13.25
2022,2,18,18.58
2022,2,19,1.07
2022,2,20,4.12
2022,2,21,14.32
2022,2,22,9.14
2022,2,23,13.81
2022,2,24,37.76
2022,2,25,5.28
2022,2,26,4.92
2022,2,27,15.6
2022,2,28,15.07
2022,3,1,3.02
2022,3,2,3.63
2022,3,3,7.37
2022,3,4,8.25
2022,3,5,8.89
2022,3,6,11.59
2022,3,7,15.79
2022,3,8,12.14
2022,3,9,9.99
2022,3,10,22.24
2022,3,11,7.18
2022,3,12,13.53
2022,3,13,24.07
2022,3,14,9.39
2022,3,15,10.31
2022,3,16,18.58
2022,3,17,0.94
2022,3,18,0.98
2022,3,19,6.63
2022,3,20,19.49
2022,3,21,4.95
2022,3,22,12.69
2022,3,23,2.9
2022,3,24,2.2
2022,3,25,14.02
2022,3,26,10.87
2022,3,27,20.2
2022,3,28,3.3
2022,3,29,4.73
2022,3,30,4.22
2022,3,31,10.3
2022,4,1,12.41
2022,4,2,3.51
2022,4,3,15.72
2022,4,4,9.29
2022,4,5,0.83
2022,4,6,0.37
2022,4,7,1.61
2022,4,8,0.36
2022,4,9,4.5
2022,4,10,1.79
2022,4,11,12.49
2022,4,12,0.72
2022,4,13,1.34
2022,4,14,1.08
2022,4,15,1.84
2022,4,16,0.56
2022,4,17,8.9
2022,4,18,5.29
2022,4,19,25.62
2022,4,20,9.16
2022,4,21,4.07
2022,4,22,0.83
2022,4,23,2.32
2022,4,24,2.98
2022,4,25,12.56
2022,4,26,14.48
2022,4,27,5.28
2022,4,28,7.25
2022,4,29,8.55
2022,4,30,5.3
2022,5,1,2.71
2022,5,2,2.31
2022,5,3,4.25
2022,5,4,1.58
2022,5,5,1.3
2022,5,6,2.49
2022,5,7,13.98
2022,5,8,10.83
2022,5,9,11.37
2022,5,10,12.43
2022,5,11,15.21
2022,5,12,2.35
2022,5,13,3.09
2022,5,14,15.89
2022,5,15,3.9
2022,5,16,0.31
2022,5,17,2.9
2022,5,18,7.7
2022,5,19,7.59
2022,5,20,19.4
2022,5,21,18.48
2022,5,22,3.19
2022,5,23,0.94
2022,5,24,2.6
2022,5,25,5.52
2022,5,26,36.81
2022,5,27,6.52
2022,5,28,3.69
2022,5,29,9.88
2022,5,30,1.17
2022,5,31,2.72
2022,6,1,4.93
2022,6,2,1.79
2022,6,3,1.3
2022,6,4,1.65
2022,6,5,18.65
2022,6,6,22.28
2022,6,7,3.75
2022,6,8,3.28
2022,6,9,4.51
2022,6,10,3.65
2022,6,11,6.62
2022,6,12,21.38
2022,6,13,15.98
2022,6,14,5.61
2022,6,15,6.13
2022,6,16,5.72
2022,6,17,3.7
2022,6,18,1.82
2022,6,19,1.29
2022,6,20,11.46
2022,6,21,3.46
2022,6,22,0.2
2022,6,23,8.49
2022,6,24,1.85
2022,6,25,11.31
2022,6,26,14.71
2022,6,27,4.97
2022,6,28,0.49
2022,6,29,0.4
2022,6,30,0.66
2022,7,1,3.55
2022,7,2,10.95
2022,7,3,3.83
2022,7,4,5.75
2022,7,5,15.73
2022,7,6,6.74
2022,7,7,0.86
2022,7,8,0.5
2022,7,9,0.23
2022,7,10,1.09
2022,7,11,2.0
2022,7,12,2.65
2022,7,13,13.23
2022,7,14,8.3
2022,7,15,4.12
2022,7,16,14.2
2022,7,17,3.43
2022,7,18,1.05
2022,7,19,1.11
2022,7,20,0.01
2022,7,21,0.02
2022,7,22,0.02
2022,7,23,0.06
2022,7,24,0.0
2022,7,25,0.01
2022,7,26,0.04
2022,7,27,0.06
2022,7,28,0.05
2022,7,29,0.1
2022,7,30,0.26
2022,7,31,0.0
2022,8,1,0.01
2022,8,2,1.79
2022,8,3,0.36
2022,8,4,0.05
2022,8,5,0.2
2022,8,6,0.24
2022,8,7,0.5
2022,8,8,0.18
2022,8,9,0.21
2022,8,10,7.88
2022,8,11,3.71
2022,8,12,1.78
2022,8,13,8.76
2022,8,14,8.05
2022,8,15,1.21
2022,8,16,3.27
2022,8,17,0.01
2022,8,18,0.13
2022,8,19,0.08
2022,8,20,0.45
2022,8,21,0.85
2022,8,22,0.05
2022,8,23,0.05
2022,8,24,0.01
2022,8,25,0.06
2022,8,26,0.07
2022,8,27,0.51
2022,8,28,0.1
2022,8,29,0.08
2022,8,30,0.46
2022,8,31,0.44
2022,9,1,0.04
2022,9,2,0.01
2022,9,3,0.11
2022,9,4,0.3
2022,9,5,0.51
2022,9,6,0.61
2022,9,7,5.41
2022,9,8,1.31
2022,9,9,4.4
2022,9,10,8.22
2022,9,11,2.65
2022,9,12,1.07
2022,9,13,2.29
2022,9,14,0.91
2022,9,15,5.79
2022,9,16,8.45
2022,9,17,0.11
2022,9,18,0.06
2022,9,19,2.42
2022,9,20,0.79
2022,9,21,1.36
2022,9,22,4.16
2022,9,23,1.62
2022,9,24,0.1
2022,9,25,0.12
2022,9,26,0.3
2022,9,27,0.07
2022,9,28,0.37
2022,9,29,16.06
2022,9,30,23.64
2022,10,1,2.66
2022,10,2,6.39
2022,10,3,13.74
2022,10,4,4.85
2022,10,5,10.33
2022,10,6,7.76
2022,10,7,15.9
2022,10,8,9.08
2022,10,9,2.93
2022,10,10,15.87
2022,10,11,6.62
2022,10,12,4.18
2022,10,13,13.89
2022,10,14,17.06
2022,10,15,18.06
2022,10,16,2.97
2022,10,17,3.45
2022,10,18,15.44
2022,10,19,12.24
2022,10,20,4.31
2022,10,21,15.52
2022,10,22,2.05
2022,10,23,12.63
2022,10,24,7.51
2022,10,25,7.89
2022,10,26,6.87
2022,10,27,0.28
2022,10,28,0.28
2022,10,29,0.33
2022,10,30,0.44
2022,10,31,3.02
2022,11,1,6.68
2022,11,2,11.22
2022,11,3,7.85
2022,11,4,36.74
2022,11,5,14.99
2022,11,6,14.46
2022,11,7,3.93
2022,11,8,11.49
2022,11,9,16.36
2022,11,10,4.31
2022,11,11,13.56
2022,11,12,9.76
2022,11,13,7.73
2022,11,14,7.35
2022,11,15,9.5
2022,11,16,10.51
2022,11,17,6.01
2022,11,18,12.7
2022,11,19,15.08
2022,11,20,6.61
2022,11,21,5.65
2022,11,22,5.51
2022,11,23,6.38
2022,11,24,13.55
2022,11,25,2.85
2022,11,26,5.9
2022,11,27,8.97
2022,11,28,11.25
2022,11,29,11.68
2022,11,30,5.07
2022,12,1,21.12
