-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -6.9501   longitude 111.8917 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 71.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,11.25
2022,1,2,16.24
2022,1,3,6.02
2022,1,4,4.29
2022,1,5,0.2
2022,1,6,11.96
2022,1,7,25.78
2022,1,8,2.34
2022,1,9,10.54
2022,1,10,4.95
2022,1,11,17.58
2022,1,12,4.92
2022,1,13,4.84
2022,1,14,2.46
2022,1,15,6.6
2022,1,16,1.79
2022,1,17,5.05
2022,1,18,17.25
2022,1,19,13.22
2022,1,20,30.54
2022,1,21,9.68
2022,1,22,4.22
2022,1,23,0.87
2022,1,24,0.79
2022,1,25,4.29
2022,1,26,4.17
2022,1,27,2.13
2022,1,28,10.7
2022,1,29,18.25
2022,1,30,12.88
2022,1,31,5.92
2022,2,1,5.22
2022,2,2,2.62
2022,2,3,2.48
2022,2,4,12.18
2022,2,5,7.05
2022,2,6,20.09
2022,2,7,7.89
2022,2,8,4.48
2022,2,9,16.8
2022,2,10,18.33
2022,2,11,15.93
2022,2,12,14.47
2022,2,13,18.26
2022,2,14,6.48
2022,2,15,3.53
2022,2,16,2.68
2022,2,17,11.46
2022,2,18,19.51
2022,2,19,0.19
2022,2,20,2.62
2022,2,21,13.74
2022,2,22,8.03
2022,2,23,22.02
2022,2,24,16.92
2022,2,25,32.53
2022,2,26,6.47
2022,2,27,7.42
2022,2,28,14.83
2022,3,1,6.11
2022,3,2,2.78
2022,3,3,7.93
2022,3,4,9.85
2022,3,5,12.23
2022,3,6,9.19
2022,3,7,28.38
2022,3,8,6.61
2022,3,9,11.55
2022,3,10,15.97
2022,3,11,5.0
2022,3,12,8.83
2022,3,13,23.34
2022,3,14,9.75
2022,3,15,4.85
2022,3,16,11.17
2022,3,17,0.1
2022,3,18,0.33
2022,3,19,9.98
2022,3,20,16.53
2022,3,21,8.03
2022,3,22,14.47
2022,3,23,2.12
2022,3,24,0.52
2022,3,25,15.9
2022,3,26,9.97
2022,3,27,12.67
2022,3,28,6.82
2022,3,29,4.89
2022,3,30,5.32
2022,3,31,7.28
2022,4,1,14.15
2022,4,2,3.73
2022,4,3,17.43
2022,4,4,12.07
2022,4,5,6.5
2022,4,6,0.64
2022,4,7,0.66
2022,4,8,1.3
2022,4,9,2.56
2022,4,10,2.18
2022,4,11,6.97
2022,4,12,4.42
2022,4,13,1.59
2022,4,14,1.15
2022,4,15,0.15
2022,4,16,0.47
2022,4,17,7.41
2022,4,18,3.39
2022,4,19,22.78
2022,4,20,5.68
2022,4,21,3.16
2022,4,22,0.22
2022,4,23,2.79
2022,4,24,1.66
2022,4,25,8.94
2022,4,26,26.37
2022,4,27,5.84
2022,4,28,6.15
2022,4,29,6.58
2022,4,30,4.95
2022,5,1,2.41
2022,5,2,3.73
2022,5,3,2.35
2022,5,4,2.34
2022,5,5,0.14
2022,5,6,6.31
2022,5,7,9.78
2022,5,8,11.19
2022,5,9,9.39
2022,5,10,14.64
2022,5,11,9.99
2022,5,12,0.77
2022,5,13,2.43
2022,5,14,17.17
2022,5,15,5.67
2022,5,16,2.01
2022,5,17,3.63
2022,5,18,6.08
2022,5,19,8.5
2022,5,20,16.34
2022,5,21,11.48
2022,5,22,3.41
2022,5,23,1.79
2022,5,24,2.11
2022,5,25,17.17
2022,5,26,18.86
2022,5,27,7.78
2022,5,28,3.77
2022,5,29,7.75
2022,5,30,1.51
2022,5,31,5.8
2022,6,1,2.27
2022,6,2,1.59
2022,6,3,0.98
2022,6,4,2.21
2022,6,5,16.67
2022,6,6,21.09
2022,6,7,2.14
2022,6,8,4.83
2022,6,9,4.41
2022,6,10,2.67
2022,6,11,6.65
2022,6,12,18.87
2022,6,13,16.71
2022,6,14,5.12
2022,6,15,6.53
2022,6,16,6.65
2022,6,17,4.63
2022,6,18,0.68
2022,6,19,2.09
2022,6,20,6.79
2022,6,21,4.53
2022,6,22,0.1
2022,6,23,6.98
2022,6,24,2.64
2022,6,25,7.15
2022,6,26,28.38
2022,6,27,5.65
2022,6,28,3.98
2022,6,29,0.21
2022,6,30,0.2
2022,7,1,4.95
2022,7,2,7.53
2022,7,3,3.38
2022,7,4,7.48
2022,7,5,5.89
2022,7,6,14.76
2022,7,7,1.57
2022,7,8,0.32
2022,7,9,0.08
2022,7,10,0.76
2022,7,11,1.31
2022,7,12,2.72
2022,7,13,10.94
2022,7,14,9.44
2022,7,15,3.77
2022,7,16,7.7
2022,7,17,8.51
2022,7,18,0.99
2022,7,19,0.3
2022,7,20,0.01
2022,7,21,0.46
2022,7,22,0.02
2022,7,23,0.04
2022,7,24,0.05
2022,7,25,0.0
2022,7,26,0.0
2022,7,27,0.03
2022,7,28,0.21
2022,7,29,0.04
2022,7,30,0.09
2022,7,31,0.0
2022,8,1,0.0
2022,8,2,2.04
2022,8,3,0.04
2022,8,4,0.09
2022,8,5,0.05
2022,8,6,0.0
2022,8,7,0.08
2022,8,8,0.06
2022,8,9,0.07
2022,8,10,4.36
2022,8,11,3.23
2022,8,12,0.68
2022,8,13,9.2
2022,8,14,4.27
2022,8,15,1.02
2022,8,16,2.85
2022,8,17,0.49
2022,8,18,0.12
2022,8,19,0.09
2022,8,20,0.34
2022,8,21,0.62
2022,8,22,0.04
2022,8,23,0.05
2022,8,24,0.02
2022,8,25,0.01
2022,8,26,0.12
2022,8,27,0.37
2022,8,28,0.05
2022,8,29,0.03
2022,8,30,0.17
2022,8,31,0.51
2022,9,1,0.12
2022,9,2,0.05
2022,9,3,0.49
2022,9,4,0.41
2022,9,5,1.34
2022,9,6,1.09
2022,9,7,3.99
2022,9,8,1.86
2022,9,9,3.01
2022,9,10,6.06
2022,9,11,1.06
2022,9,12,0.06
2022,9,13,1.85
2022,9,14,0.45
2022,9,15,2.92
2022,9,16,6.08
2022,9,17,0.36
2022,9,18,0.03
2022,9,19,1.13
2022,9,20,0.93
2022,9,21,1.45
2022,9,22,2.73
2022,9,23,1.95
2022,9,24,0.03
2022,9,25,0.03
2022,9,26,0.09
2022,9,27,0.02
2022,9,28,0.06
2022,9,29,12.28
2022,9,30,29.55
2022,10,1,3.1
2022,10,2,4.85
2022,10,3,15.8
2022,10,4,7.19
2022,10,5,3.03
2022,10,6,4.66
2022,10,7,13.55
2022,10,8,7.71
2022,10,9,4.53
2022,10,10,13.53
2022,10,11,7.27
2022,10,12,2.97
2022,10,13,11.55
2022,10,14,18.71
2022,10,15,18.27
2022,10,16,4.13
2022,10,17,1.04
2022,10,18,22.36
2022,10,19,3.76
2022,10,20,4.05
2022,10,21,21.6
2022,10,22,0.61
2022,10,23,15.39
2022,10,24,2.65
2022,10,25,7.0
2022,10,26,6.13
2022,10,27,0.79
2022,10,28,0.62
2022,10,29,0.52
2022,10,30,0.66
2022,10,31,4.16
2022,11,1,2.52
2022,11,2,12.11
2022,11,3,11.43
2022,11,4,10.85
2022,11,5,4.08
2022,11,6,10.97
2022,11,7,4.25
2022,11,8,12.15
2022,11,9,15.87
2022,11,10,4.3
2022,11,11,7.59
2022,11,12,4.61
2022,11,13,2.51
2022,11,14,5.69
2022,11,15,7.71
2022,11,16,5.41
2022,11,17,2.41
2022,11,18,15.73
2022,11,19,12.2
2022,11,20,8.89
2022,11,21,4.62
2022,11,22,8.82
2022,11,23,4.44
2022,11,24,12.38
2022,11,25,10.24
2022,11,26,4.94
2022,11,27,2.3
2022,11,28,8.76
2022,11,29,10.36
2022,11,30,7.27
2022,12,1,8.9
2022,12,2,15.49
2022,12,3,0.58
2022,12,4,5.54
2022,12,5,2.25
2022,12,6,0.83
2022,12,7,2.98
2022,12,8,0.97
2022,12,9,21.41
2022,12,10,5.1
2022,12,11,0.98
2022,12,12,7.83
2022,12,13,2.72
2022,12,14,0.63
2022,12,15,1.11
2022,12,16,24.22
2022,12,17,7.24
2022,12,18,3.18
2022,12,19,7.72
2022,12,20,5.02
2022,12,21,9.31
2022,12,22,13.91
2022,12,23,9.31
2022,12,24,2.96
2022,12,25,6.55
2022,12,26,13.41
2022,12,27,22.02
2022,12,28,9.93
2022,12,29,12.22
2022,12,30,42.44
2022,12,31,53.17
2023,1,1,20.96
2023,1,2,3.55
2023,1,3,3.46
2023,1,4,2.45
2023,1,5,4.6
2023,1,6,14.43
2023,1,7,4.2
2023,1,8,10.09
2023,1,9,5.23
2023,1,10,7.72
2023,1,11,6.39
2023,1,12,2.48
2023,1,13,9.36
2023,1,14,4.68
2023,1,15,10.17
2023,1,16,2.98
2023,1,17,16.89
2023,1,18,15.49
2023,1,19,19.49
2023,1,20,8.59
2023,1,21,9.96
2023,1,22,31.43
2023,1,23,2.9
2023,1,24,13.46
2023,1,25,14.67
2023,1,26,13.47
2023,1,27,9.36
2023,1,28,19.44
2023,1,29,8.42
2023,1,30,2.29
2023,1,31,7.18
2023,2,1,5.53
2023,2,2,1.31
2023,2,3,0.3
2023,2,4,3.49
2023,2,5,2.78
2023,2,6,9.45
2023,2,7,16.34
2023,2,8,13.03
2023,2,9,17.56
2023,2,10,15.01
2023,2,11,18.17
2023,2,12,5.24
2023,2,13,17.29
2023,2,14,12.59
2023,2,15,19.83
2023,2,16,21.59
2023,2,17,30.3
2023,2,18,31.71
2023,2,19,26.83
2023,2,20,14.45
2023,2,21,55.27
2023,2,22,29.47
2023,2,23,9.01
2023,2,24,9.81
2023,2,25,7.1
2023,2,26,10.17
2023,2,27,44.95
2023,2,28,4.4
2023,3,1,15.35
2023,3,2,22.1
2023,3,3,3.0
2023,3,4,6.16
2023,3,5,28.2
2023,3,6,7.47
2023,3,7,0.78
2023,3,8,17.01
2023,3,9,3.83
2023,3,10,0.45
2023,3,11,2.71
2023,3,12,1.19
2023,3,13,3.29
2023,3,14,4.95
2023,3,15,5.87
2023,3,16,0.52
2023,3,17,0.16
2023,3,18,0.27
2023,3,19,1.26
2023,3,20,1.69
2023,3,21,12.77
2023,3,22,1.96
2023,3,23,0.92
2023,3,24,1.32
2023,3,25,10.06
2023,3,26,11.77
2023,3,27,9.54
2023,3,28,2.44
2023,3,29,2.48
2023,3,30,6.34
2023,3,31,12.75
2023,4,1,3.47
2023,4,2,1.67
2023,4,3,0.43
2023,4,4,0.22
2023,4,5,0.12
2023,4,6,8.62
2023,4,7,17.7
2023,4,8,20.92
2023,4,9,25.13
2023,4,10,17.71
2023,4,11,5.43
2023,4,12,7.92
2023,4,13,17.47
2023,4,14,5.47
2023,4,15,8.46
2023,4,16,5.02
2023,4,17,5.2
2023,4,18,0.55
2023,4,19,1.02
2023,4,20,3.77
2023,4,21,14.08
2023,4,22,9.08
2023,4,23,4.77
2023,4,24,4.29
2023,4,25,3.44
2023,4,26,2.78
2023,4,27,3.13
2023,4,28,15.18
2023,4,29,12.45
2023,4,30,1.9
2023,5,1,3.21
2023,5,2,13.39
2023,5,3,19.71
2023,5,4,5.23
2023,5,5,0.98
2023,5,6,4.97
2023,5,7,2.32
2023,5,8,0.47
2023,5,9,0.52
2023,5,10,3.17
2023,5,11,9.79
2023,5,12,1.83
2023,5,13,0.55
2023,5,14,0.02
2023,5,15,0.02
2023,5,16,0.24
2023,5,17,0.14
2023,5,18,0.06
2023,5,19,4.42
2023,5,20,1.91
2023,5,21,0.18
2023,5,22,0.09
2023,5,23,0.03
2023,5,24,0.14
2023,5,25,1.11
2023,5,26,0.06
2023,5,27,0.0
2023,5,28,0.0
2023,5,29,0.05
2023,5,30,0.01
2023,5,31,0.0
2023,6,1,0.01
2023,6,2,0.01
2023,6,3,0.02
2023,6,4,0.29
2023,6,5,1.72
2023,6,6,13.21
2023,6,7,3.25
2023,6,8,0.61
2023,6,9,0.18
2023,6,10,0.05
2023,6,11,8.35
2023,6,12,3.83
2023,6,13,0.54
2023,6,14,0.3
2023,6,15,0.22
2023,6,16,0.29
2023,6,17,0.03
2023,6,18,0.04
2023,6,19,1.14
2023,6,20,1.67
2023,6,21,0.07
