-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -7.87   longitude 112.5283 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 467.71 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,8.49
2022,1,2,20.84
2022,1,3,11.44
2022,1,4,7.71
2022,1,5,1.33
2022,1,6,7.63
2022,1,7,35.72
2022,1,8,4.29
2022,1,9,9.59
2022,1,10,4.44
2022,1,11,28.49
2022,1,12,4.91
2022,1,13,3.43
2022,1,14,0.6
2022,1,15,1.5
2022,1,16,2.89
2022,1,17,5.25
2022,1,18,16.72
2022,1,19,24.21
2022,1,20,25.22
2022,1,21,10.2
2022,1,22,5.5
2022,1,23,0.73
2022,1,24,0.07
2022,1,25,1.17
2022,1,26,4.17
2022,1,27,3.06
2022,1,28,16.55
2022,1,29,26.77
2022,1,30,20.22
2022,1,31,3.08
2022,2,1,4.05
2022,2,2,4.1
2022,2,3,7.33
2022,2,4,14.8
2022,2,5,2.57
2022,2,6,11.47
2022,2,7,7.62
2022,2,8,3.42
2022,2,9,23.17
2022,2,10,5.88
2022,2,11,10.06
2022,2,12,16.19
2022,2,13,12.58
2022,2,14,7.42
2022,2,15,1.79
2022,2,16,2.9
2022,2,17,6.12
2022,2,18,12.44
2022,2,19,1.41
2022,2,20,5.99
2022,2,21,18.72
2022,2,22,17.4
2022,2,23,24.68
2022,2,24,29.76
2022,2,25,15.0
2022,2,26,8.07
2022,2,27,9.23
2022,2,28,14.94
2022,3,1,3.98
2022,3,2,3.9
2022,3,3,6.05
2022,3,4,12.93
2022,3,5,13.55
2022,3,6,21.62
2022,3,7,20.25
2022,3,8,13.96
2022,3,9,7.37
2022,3,10,26.31
2022,3,11,12.52
2022,3,12,8.22
