-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -7.6299   longitude 111.5171 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 222.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,12.58
2022,1,2,13.76
2022,1,3,4.72
2022,1,4,4.06
2022,1,5,0.46
2022,1,6,13.76
2022,1,7,23.55
2022,1,8,3.16
2022,1,9,13.93
2022,1,10,4.65
2022,1,11,17.95
2022,1,12,5.76
2022,1,13,3.04
2022,1,14,0.78
2022,1,15,4.71
2022,1,16,1.1
2022,1,17,5.26
2022,1,18,14.89
2022,1,19,19.61
2022,1,20,18.64
2022,1,21,14.24
2022,1,22,3.7
2022,1,23,0.37
2022,1,24,0.01
2022,1,25,1.7
2022,1,26,5.81
2022,1,27,2.43
2022,1,28,8.56
2022,1,29,15.96
2022,1,30,11.46
2022,1,31,4.08
2022,2,1,4.38
2022,2,2,2.33
2022,2,3,2.75
2022,2,4,8.82
2022,2,5,7.62
2022,2,6,23.01
2022,2,7,6.5
2022,2,8,5.56
2022,2,9,14.04
2022,2,10,19.18
2022,2,11,13.22
2022,2,12,15.73
2022,2,13,17.75
2022,2,14,8.74
2022,2,15,2.34
2022,2,16,0.98
2022,2,17,16.25
2022,2,18,23.58
2022,2,19,0.67
2022,2,20,1.22
2022,2,21,12.29
2022,2,22,5.14
2022,2,23,14.46
2022,2,24,33.62
2022,2,25,14.22
2022,2,26,3.46
2022,2,27,16.28
2022,2,28,16.13
2022,3,1,3.6
2022,3,2,2.94
2022,3,3,2.38
2022,3,4,8.12
2022,3,5,9.36
2022,3,6,6.66
2022,3,7,17.41
2022,3,8,11.11
2022,3,9,13.77
2022,3,10,16.1
2022,3,11,5.19
2022,3,12,16.59
2022,3,13,25.72
2022,3,14,11.48
2022,3,15,12.19
2022,3,16,7.15
2022,3,17,0.25
2022,3,18,0.31
2022,3,19,8.15
2022,3,20,15.1
2022,3,21,4.88
2022,3,22,10.96
2022,3,23,1.13
2022,3,24,0.21
2022,3,25,16.95
2022,3,26,11.95
2022,3,27,10.02
2022,3,28,3.73
2022,3,29,3.57
2022,3,30,5.82
2022,3,31,12.82
2022,4,1,12.53
2022,4,2,2.22
2022,4,3,17.4
2022,4,4,6.19
2022,4,5,2.43
2022,4,6,0.41
2022,4,7,1.93
2022,4,8,0.42
2022,4,9,5.27
2022,4,10,3.09
2022,4,11,18.41
2022,4,12,1.52
2022,4,13,0.39
2022,4,14,0.85
2022,4,15,0.05
2022,4,16,0.0
2022,4,17,13.91
2022,4,18,6.37
2022,4,19,22.01
2022,4,20,6.86
2022,4,21,3.85
2022,4,22,0.2
2022,4,23,2.18
2022,4,24,1.05
2022,4,25,14.71
2022,4,26,6.17
2022,4,27,5.95
2022,4,28,5.99
2022,4,29,7.6
2022,4,30,4.19
2022,5,1,1.9
2022,5,2,2.06
2022,5,3,2.75
2022,5,4,1.78
2022,5,5,0.11
2022,5,6,2.55
2022,5,7,15.83
2022,5,8,11.04
2022,5,9,12.22
