-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in LST
Location: latitude  -7.6426   longitude 112.9104 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 96.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,1,1,8.26
2022,1,2,10.85
2022,1,3,17.21
2022,1,4,3.38
2022,1,5,2.56
2022,1,6,4.09
2022,1,7,30.55
2022,1,8,3.43
2022,1,9,17.8
2022,1,10,14.11
2022,1,11,25.69
2022,1,12,7.73
2022,1,13,1.87
2022,1,14,0.77
2022,1,15,2.82
2022,1,16,1.41
2022,1,17,4.49
2022,1,18,18.23
2022,1,19,12.9
2022,1,20,39.52
2022,1,21,8.5
2022,1,22,5.3
2022,1,23,2.01
2022,1,24,0.62
2022,1,25,1.83
2022,1,26,4.21
2022,1,27,1.8
2022,1,28,14.62
2022,1,29,11.68
2022,1,30,15.29
2022,1,31,11.21
2022,2,1,6.49
2022,2,2,2.39
2022,2,3,6.81
2022,2,4,20.25
2022,2,5,4.22
2022,2,6,6.81
2022,2,7,9.42
2022,2,8,2.78
2022,2,9,17.67
2022,2,10,21.66
2022,2,11,12.3
2022,2,12,11.54
2022,2,13,7.56
2022,2,14,6.88
2022,2,15,0.45
2022,2,16,4.17
2022,2,17,7.66
2022,2,18,21.5
2022,2,19,0.62
2022,2,20,3.16
2022,2,21,14.58
2022,2,22,27.68
2022,2,23,27.74
2022,2,24,15.71
2022,2,25,25.84
2022,2,26,8.61
2022,2,27,7.19
2022,2,28,13.16
2022,3,1,6.99
2022,3,2,3.07
2022,3,3,4.59
2022,3,4,9.15
2022,3,5,24.59
2022,3,6,17.0
2022,3,7,24.88
2022,3,8,10.97
2022,3,9,5.76
2022,3,10,10.09
2022,3,11,17.3
2022,3,12,4.38
2022,3,13,11.55
2022,3,14,7.55
2022,3,15,1.87
2022,3,16,12.09
2022,3,17,0.26
2022,3,18,1.86
2022,3,19,22.46
2022,3,20,24.94
2022,3,21,11.32
2022,3,22,12.15
2022,3,23,3.75
2022,3,24,3.85
2022,3,25,15.71
2022,3,26,8.36
2022,3,27,10.26
2022,3,28,6.6
2022,3,29,7.87
2022,3,30,8.79
2022,3,31,0.28
2022,4,1,10.18
2022,4,2,0.23
2022,4,3,10.27
2022,4,4,19.04
2022,4,5,0.5
2022,4,6,0.76
2022,4,7,0.08
2022,4,8,0.01
2022,4,9,0.46
