Wilayah,Jumlah Outlier
Kabupaten Bangkalan,63
Kabupaten Banyuwangi,67
Kabupaten Blitar,91
Kabupaten Bojonegoro,82
Kabupaten Bondowoso,73
Kabupaten Gresik,72
Kabupaten Jember,73
Kabupaten Jombang,92
Kabupaten Kediri,67
Kabupaten Lamongan,72
Kabupaten Lumajang,59
Kabupaten Madiun,82
Kabupaten Magetan,74
Kabupaten Malang,91
Kabupaten Mojokerto,92
Kabupaten Nganjuk,82
Kabupaten Ngawi,74
Kabupaten Pacitan,66
Kabupaten Pamekasan,63
Kabupaten Pasuruan,59
Kabupaten Ponorogo,66
Kabupaten Probolinggo,59
Kabupaten Sampang,63
Kabupaten Sidoarjo,92
Kabupaten Situbondo,66
Kabupaten Sumenep,63
Kabupaten Trenggalek,67
Kabupaten Tuban,70
Kabupaten Tulungagung,67
Kota Batu,91
Kota Blitar,67
Kota Kediri,67
Kota Madiun,74
Kota Malang,91
Kota Mojokerto,92
Kota Pasuruan,63
Kota Probolinggo,59
Kota Surabaya,72
