,Kabupaten Bangkalan,Kabupaten Banyuwangi,Kabupaten Blitar,Kabupaten Bojonegoro,Kabupaten Bondowoso,Kabupaten Gresik,Kabupaten Jember,Kabupaten Jombang,Kabupaten Kediri,Kabupaten Lamongan,Kabupaten Lumajang,Kabupaten Madiun,Kabupaten Magetan,Kabupaten Malang,Kabupaten Mojokerto,Kabupaten Nganjuk,Kabupaten Ngawi,Kabupaten Pacitan,Kabupaten Pamekasan,Kabupaten Pasuruan,Kabupaten Ponorogo,Kabupaten Probolinggo,Kabupaten Sampang,Kabupaten Sidoarjo,Kabupaten Situbondo,Kabupaten Sumenep,Kabupaten Trenggalek,Kabupaten Tuban,Kabupaten Tulungagung,Kota Batu,Kota Blitar,Kota Kediri,Kota Madiun,Kota Malang,Kota Mojokerto,Kota Pasuruan,Kota Probolinggo,Kota Surabaya
2022-01-01,10.05,4.79,8.49,11.46,5.05,8.79,5.05,7.94,13.99,8.79,5.55,11.46,12.58,8.49,7.94,11.46,12.58,13.41,9.38,5.55,13.41,5.55,10.05,7.94,7.92,9.38,13.99,11.25,13.99,8.49,13.99,13.99,12.58,8.49,7.94,8.26,5.55,8.79
2022-01-02,7.62,13.17,20.84,19.32,15.41,14.99,15.41,21.95,15.07,14.99,11.75,19.32,13.76,20.84,21.95,19.32,13.76,14.76,6.2,11.75,14.76,11.75,7.62,21.95,9.73,6.2,15.07,16.24,15.07,20.84,15.07,15.07,13.76,20.84,21.95,10.85,11.75,14.99
2022-01-03,21.26,5.39,11.44,6.57,13.72,13.23,13.72,14.6,6.21,13.23,10.26,6.57,4.72,11.44,14.6,6.57,4.72,5.51,19.38,10.26,5.51,10.26,21.26,14.6,20.5,19.38,6.21,6.02,6.21,11.44,6.21,6.21,4.72,11.44,14.6,17.21,10.26,13.23
2022-01-04,2.76,2.21,7.71,6.22,5.27,4.98,5.27,7.64,4.92,4.98,3.51,6.22,4.06,7.71,7.64,6.22,4.06,4.47,2.08,3.51,4.47,3.51,2.76,7.64,3.02,2.08,4.92,4.29,4.92,7.71,4.92,4.92,4.06,7.71,7.64,3.38,3.51,4.98
2022-01-05,1.77,7.08,1.33,0.31,3.34,0.79,3.34,1.12,0.9,0.79,3.27,0.31,0.46,1.33,1.12,0.31,0.46,0.86,1.92,3.27,0.86,3.27,1.77,1.12,3.53,1.92,0.9,0.2,0.9,1.33,0.9,0.9,0.46,1.33,1.12,2.56,3.27,0.79
2022-01-06,3.52,0.85,7.63,14.69,6.95,7.77,6.95,9.6,7.16,7.77,4.5,14.69,13.76,7.63,9.6,14.69,13.76,5.65,2.72,4.5,5.65,4.5,3.52,9.6,3.98,2.72,7.16,11.96,7.16,7.63,7.16,7.16,13.76,7.63,9.6,4.09,4.5,7.77
2022-01-07,41.8,10.86,35.72,27.51,29.74,40.88,29.74,39.13,29.61,40.88,22.97,27.51,23.55,35.72,39.13,27.51,23.55,29.98,38.23,22.97,29.98,22.97,41.8,39.13,31.52,38.23,29.61,25.78,29.61,35.72,29.61,29.61,23.55,35.72,39.13,30.55,22.97,40.88
2022-01-08,2.67,5.07,4.29,4.39,4.22,2.25,4.22,3.96,3.09,2.25,3.89,4.39,3.16,4.29,3.96,4.39,3.16,3.16,1.85,3.89,3.16,3.89,2.67,3.96,5.55,1.85,3.09,2.34,3.09,4.29,3.09,3.09,3.16,4.29,3.96,3.43,3.89,2.25
2022-01-09,11.63,51.84,9.59,11.11,24.91,8.81,24.91,9.39,11.7,8.81,28.26,11.11,13.93,9.59,9.39,11.11,13.93,13.53,12.64,28.26,13.53,28.26,11.63,9.39,17.6,12.64,11.7,10.54,11.7,9.59,11.7,11.7,13.93,9.59,9.39,17.8,28.26,8.81
2022-01-10,13.68,9.11,4.44,3.84,8.14,6.5,8.14,4.92,4.19,6.5,8.76,3.84,4.65,4.44,4.92,3.84,4.65,4.55,14.63,8.76,4.55,8.76,13.68,4.92,11.0,14.63,4.19,4.95,4.19,4.44,4.19,4.19,4.65,4.44,4.92,14.11,8.76,6.5
2022-01-11,21.66,19.83,28.49,20.59,23.84,20.18,23.84,24.54,22.43,20.18,23.8,20.59,17.95,28.49,24.54,20.59,17.95,18.21,21.98,23.8,18.21,23.8,21.66,24.54,25.74,21.98,22.43,17.58,22.43,28.49,22.43,22.43,17.95,28.49,24.54,25.69,23.8,20.18
2022-01-12,11.22,3.78,4.91,5.29,3.55,6.45,3.55,5.7,6.42,6.45,4.55,5.29,5.76,4.91,5.7,5.29,5.76,7.08,10.79,4.55,7.08,4.55,11.22,5.7,6.13,10.79,6.42,4.92,6.42,4.91,6.42,6.42,5.76,4.91,5.7,7.73,4.55,6.45
2022-01-13,3.13,3.68,3.43,2.26,2.4,4.5,2.4,1.85,4.04,4.5,3.2,2.26,3.04,3.43,1.85,2.26,3.04,3.42,3.4,3.2,3.42,3.2,3.13,1.85,1.83,3.4,4.04,4.84,4.04,3.43,4.04,4.04,3.04,3.43,1.85,1.87,3.2,4.5
2022-01-14,1.99,5.5,0.6,0.47,0.99,2.89,0.99,0.74,0.92,2.89,1.71,0.47,0.78,0.6,0.74,0.47,0.78,1.05,2.13,1.71,1.05,1.71,1.99,0.74,0.8,2.13,0.92,2.46,0.92,0.6,0.92,0.92,0.78,0.6,0.74,0.77,1.71,2.89
2022-01-15,2.83,21.29,1.5,3.32,5.62,4.03,5.62,1.1,3.4,4.03,7.22,3.32,4.71,1.5,1.1,3.32,4.71,3.6,3.22,7.22,3.6,7.22,2.83,1.1,2.87,3.22,3.4,6.6,3.4,1.5,3.4,3.4,4.71,1.5,1.1,2.82,7.22,4.03
2022-01-16,2.15,1.91,2.89,1.55,1.77,2.45,1.77,2.25,1.94,2.45,1.57,1.55,1.1,2.89,2.25,1.55,1.1,2.06,1.95,1.57,2.06,1.57,2.15,2.25,1.57,1.95,1.94,1.79,1.94,2.89,1.94,1.94,1.1,2.89,2.25,1.41,1.57,2.45
2022-01-17,6.0,30.59,5.25,4.44,7.2,5.87,7.2,3.59,5.95,5.87,7.35,4.44,5.26,5.25,3.59,4.44,5.26,5.47,6.06,7.35,5.47,7.35,6.0,3.59,5.46,6.06,5.95,5.05,5.95,5.25,5.95,5.95,5.26,5.25,3.59,4.49,7.35,5.87
2022-01-18,20.18,30.45,16.72,16.38,20.9,19.03,20.9,18.2,13.61,19.03,21.14,16.38,14.89,16.72,18.2,16.38,14.89,13.2,19.32,21.14,13.2,21.14,20.18,18.2,18.94,19.32,13.61,17.25,13.61,16.72,13.61,13.61,14.89,16.72,18.2,18.23,21.14,19.03
2022-01-19,10.09,25.71,24.21,18.79,19.04,18.86,19.04,22.11,25.02,18.86,21.28,18.79,19.61,24.21,22.11,18.79,19.61,25.54,8.9,21.28,25.54,21.28,10.09,22.11,16.21,8.9,25.02,13.22,25.02,24.21,25.02,25.02,19.61,24.21,22.11,12.9,21.28,18.86
2022-01-20,37.03,17.67,25.22,21.78,34.08,33.01,34.08,28.92,16.55,33.01,29.86,21.78,18.64,25.22,28.92,21.78,18.64,15.64,39.37,29.86,15.64,29.86,37.03,28.92,35.98,39.37,16.55,30.54,16.55,25.22,16.55,16.55,18.64,25.22,28.92,39.52,29.86,33.01
2022-01-21,12.24,1.77,10.2,13.84,4.96,8.9,4.96,10.13,13.67,8.9,4.65,13.84,14.24,10.2,10.13,13.84,14.24,13.59,11.88,4.65,13.59,4.65,12.24,10.13,7.29,11.88,13.67,9.68,13.67,10.2,13.67,13.67,14.24,10.2,10.13,8.5,4.65,8.9
2022-01-22,4.6,4.98,5.5,4.4,4.9,4.6,4.9,5.31,4.43,4.6,4.69,4.4,3.7,5.5,5.31,4.4,3.7,4.29,4.56,4.69,4.29,4.69,4.6,5.31,5.44,4.56,4.43,4.22,4.43,5.5,4.43,4.43,3.7,5.5,5.31,5.3,4.69,4.6
2022-01-23,2.39,1.49,0.73,0.28,0.79,1.12,0.79,0.53,0.63,1.12,1.28,0.28,0.37,0.73,0.53,0.28,0.37,0.58,2.51,1.28,0.58,1.28,2.39,0.53,1.66,2.51,0.63,0.87,0.63,0.73,0.63,0.63,0.37,0.73,0.53,2.01,1.28,1.12
2022-01-24,1.49,0.08,0.07,0.01,0.07,0.87,0.07,0.04,0.06,0.87,0.15,0.01,0.01,0.07,0.04,0.01,0.01,0.11,1.35,0.15,0.11,0.15,1.49,0.04,0.29,1.35,0.06,0.79,0.06,0.07,0.06,0.06,0.01,0.07,0.04,0.62,0.15,0.87
2022-01-25,5.69,0.53,1.17,1.31,1.18,7.77,1.18,1.59,1.5,7.77,1.11,1.31,1.7,1.17,1.59,1.31,1.7,1.76,5.54,1.11,1.76,1.11,5.69,1.59,1.72,5.54,1.5,4.29,1.5,1.17,1.5,1.5,1.7,1.17,1.59,1.83,1.11,7.77
2022-01-26,2.05,17.84,4.17,4.92,6.91,2.05,6.91,2.16,5.69,2.05,9.4,4.92,5.81,4.17,2.16,4.92,5.81,5.48,2.72,9.4,5.48,9.4,2.05,2.16,4.33,2.72,5.69,4.17,5.69,4.17,5.69,5.69,5.81,4.17,2.16,4.21,9.4,2.05
2022-01-27,4.06,12.95,3.06,2.09,3.01,2.73,3.01,1.76,2.78,2.73,3.61,2.09,2.43,3.06,1.76,2.09,2.43,2.74,3.31,3.61,2.74,3.61,4.06,1.76,2.07,3.31,2.78,2.13,2.78,3.06,2.78,2.78,2.43,3.06,1.76,1.8,3.61,2.73
2022-01-28,15.2,19.74,16.55,10.21,16.97,15.77,16.97,13.64,13.44,15.77,17.31,10.21,8.56,16.55,13.64,10.21,8.56,12.13,17.37,17.31,12.13,17.31,15.2,13.64,16.13,17.37,13.44,10.7,13.44,16.55,13.44,13.44,8.56,16.55,13.64,14.62,17.31,15.77
2022-01-29,6.1,5.5,26.77,23.02,19.39,17.77,19.39,27.85,19.01,17.77,13.03,23.02,15.96,26.77,27.85,23.02,15.96,16.78,3.06,13.03,16.78,13.03,6.1,27.85,10.5,3.06,19.01,18.25,19.01,26.77,19.01,19.01,15.96,26.77,27.85,11.68,13.03,17.77
2022-01-30,15.05,5.98,20.22,16.19,15.81,18.56,15.81,22.94,13.75,18.56,11.55,16.19,11.46,20.22,22.94,16.19,11.46,12.56,15.19,11.55,12.56,11.55,15.05,22.94,18.56,15.19,13.75,12.88,13.75,20.22,13.75,13.75,11.46,20.22,22.94,15.29,11.55,18.56
2022-01-31,13.07,2.58,3.08,3.5,6.01,8.16,6.01,6.07,2.38,8.16,5.69,3.5,4.08,3.08,6.07,3.5,4.08,2.69,13.33,5.69,2.69,5.69,13.07,6.07,11.24,13.33,2.38,5.92,2.38,3.08,2.38,2.38,4.08,3.08,6.07,11.21,5.69,8.16
2022-02-01,7.12,6.2,4.05,4.33,5.25,7.68,5.25,4.42,3.68,7.68,5.3,4.33,4.38,4.05,4.42,4.33,4.38,3.63,7.5,5.3,3.63,5.3,7.12,4.42,6.23,7.5,3.68,5.22,3.68,4.05,3.68,3.68,4.38,4.05,4.42,6.49,5.3,7.68
