,Kabupaten Bangkalan,Kabupaten Banyuwangi,Kabupaten Blitar,Kabupaten Bojonegoro,Kabupaten Bondowoso,Kabupaten Gresik,Kabupaten Jember,Kabupaten Jombang,Kabupaten Kediri,Kabupaten Lamongan,Kabupaten Lumajang,Kabupaten Madiun,Kabupaten Magetan,Kabupaten Malang,Kabupaten Mojokerto,Kabupaten Nganjuk,Kabupaten Ngawi,Kabupaten Pacitan,Kabupaten Pamekasan,Kabupaten Pasuruan,Kabupaten Ponorogo,Kabupaten Probolinggo,Kabupaten Sampang,Kabupaten Sidoarjo,Kabupaten Situbondo,Kabupaten Sumenep,Kabupaten Trenggalek,Kabupaten Tuban,Kabupaten Tulungagung,Kota Batu,Kota Blitar,Kota Kediri,Kota Madiun,Kota Malang,Kota Mojokerto,Kota Pasuruan,Kota Probolinggo,Kota Surabaya
Kabupaten Bangkalan,0.0,190.83890876862614,210.9938257390483,196.48316569110958,134.57638908813092,177.76137178813633,134.57638908813092,277.6979533594012,146.28186763915738,177.76137178813633,129.35203168099056,196.48316569110958,166.78135447345406,210.9938257390483,277.6979533594012,196.48316569110958,166.78135447345406,150.57734723390496,43.45016915962467,129.35203168099056,150.57734723390496,129.35203168099056,0.0,277.6979533594012,103.88138139243233,43.45016915962467,146.28186763915738,157.13972126741186,146.28186763915738,210.9938257390483,146.28186763915738,146.28186763915738,166.78135447345406,210.9938257390483,277.6979533594012,82.50522468304662,129.35203168099056,177.76137178813633
Kabupaten Banyuwangi,190.83890876862614,0.0,302.1016127067191,286.31596113385024,214.04609083092342,279.8003137953919,214.04609083092342,378.27562120760547,218.44354854286695,279.8003137953919,170.44818508860695,286.31596113385024,238.57934382506764,302.1016127067191,378.27562120760547,286.31596113385024,238.57934382506764,215.3574238330315,176.7526613661017,170.44818508860695,215.3574238330315,170.44818508860695,190.83890876862614,378.27562120760547,228.91642557929308,176.7526613661017,218.44354854286695,248.46344157642162,218.44354854286695,302.1016127067191,218.44354854286695,218.44354854286695,238.57934382506764,302.1016127067191,378.27562120760547,205.97897562615472,170.44818508860695,279.8003137953919
Kabupaten Blitar,210.9938257390483,302.1016127067191,0.0,144.2061708110993,165.7602913848787,136.05958584384985,165.7602913848787,129.7966590479122,189.23461496248478,136.05958584384985,233.57885135431223,144.2061708110993,211.78680577410861,0.0,129.7966590479122,144.2061708110993,211.78680577410861,198.6581010178035,238.65209343309775,233.57885135431223,198.6581010178035,233.57885135431223,210.9938257390483,129.7966590479122,168.11808558272324,238.65209343309775,189.23461496248478,160.72184014626,189.23461496248478,0.0,189.23461496248478,189.23461496248478,211.78680577410861,0.0,129.7966590479122,191.64312432226725,233.57885135431223,136.05958584384985
Kabupaten Bojonegoro,196.48316569110958,286.31596113385024,144.2061708110993,0.0,178.4561080490101,132.3164796992425,178.4561080490101,176.56903069338077,150.0689881354572,132.3164796992425,223.81877758579574,0.0,121.64143208627561,144.2061708110993,176.56903069338077,0.0,121.64143208627561,145.41440678282189,220.16956828771742,223.81877758579574,145.41440678282189,223.81877758579574,196.48316569110958,176.56903069338077,164.85002729754106,220.16956828771742,150.0689881354572,105.21563904667399,150.0689881354572,144.2061708110993,150.0689881354572,150.0689881354572,121.64143208627561,144.2061708110993,176.56903069338077,182.7464601572354,223.81877758579574,132.3164796992425
Kabupaten Bondowoso,134.57638908813092,214.04609083092342,165.7602913848787,178.4561080490101,0.0,173.43768362152446,0.0,237.8938708752283,180.2969386872665,173.43768362152446,109.70845272812835,178.4561080490101,172.80638587737414,165.7602913848787,237.8938708752283,178.4561080490101,172.80638587737414,172.57955701646694,148.45037655728572,109.70845272812835,172.57955701646694,109.70845272812835,134.57638908813092,237.8938708752283,88.25111557368558,148.45037655728572,180.2969386872665,159.08673703360688,180.2969386872665,165.7602913848787,180.2969386872665,180.2969386872665,172.80638587737414,165.7602913848787,237.8938708752283,92.6938428375909,109.70845272812835,173.43768362152446
Kabupaten Gresik,177.76137178813633,279.8003137953919,136.05958584384985,132.3164796992425,173.43768362152446,0.0,173.43768362152446,141.0550034560987,193.99630408850578,0.0,228.94544568521098,132.3164796992425,185.9324552088739,136.05958584384985,141.0550034560987,132.3164796992425,185.9324552088739,189.71657597584874,206.08373686441124,228.94544568521098,189.71657597584874,228.94544568521098,177.76137178813633,141.0550034560987,145.84836063528454,206.08373686441124,193.99630408850578,113.36940151557643,193.99630408850578,136.05958584384985,193.99630408850578,193.99630408850578,185.9324552088739,136.05958584384985,141.0550034560987,171.3031356980951,228.94544568521098,0.0
Kabupaten Jember,134.57638908813092,214.04609083092342,165.7602913848787,178.4561080490101,0.0,173.43768362152446,0.0,237.8938708752283,180.2969386872665,173.43768362152446,109.70845272812835,178.4561080490101,172.80638587737414,165.7602913848787,237.8938708752283,178.4561080490101,172.80638587737414,172.57955701646694,148.45037655728572,109.70845272812835,172.57955701646694,109.70845272812835,134.57638908813092,237.8938708752283,88.25111557368558,148.45037655728572,180.2969386872665,159.08673703360688,180.2969386872665,165.7602913848787,180.2969386872665,180.2969386872665,172.80638587737414,165.7602913848787,237.8938708752283,92.6938428375909,109.70845272812835,173.43768362152446
Kabupaten Jombang,277.6979533594012,378.27562120760547,129.7966590479122,176.56903069338077,237.8938708752283,141.0550034560987,237.8938708752283,0.0,269.6927414670261,141.0550034560987,316.7216307737761,176.56903069338077,259.2129506795521,129.7966590479122,0.0,176.56903069338077,259.2129506795521,270.4889796276367,307.24263392309336,316.7216307737761,270.4889796276367,316.7216307737761,277.6979533594012,0.0,219.4724230968436,307.24263392309336,269.6927414670261,205.67485845382203,269.6927414670261,129.7966590479122,269.6927414670261,269.6927414670261,259.2129506795521,129.7966590479122,0.0,253.10357919239271,316.7216307737761,141.0550034560987
Kabupaten Kediri,146.28186763915738,218.44354854286695,189.23461496248478,150.0689881354572,180.2969386872665,193.99630408850578,180.2969386872665,269.6927414670261,0.0,193.99630408850578,167.2580727498675,150.0689881354572,120.0551364998598,189.23461496248478,269.6927414670261,150.0689881354572,120.0551364998598,52.35365985296546,157.9216571594914,167.2580727498675,52.35365985296546,167.2580727498675,146.28186763915738,269.6927414670261,169.678376053049,157.9216571594914,0.0,150.84403236455861,0.0,189.23461496248478,0.0,0.0,120.0551364998598,189.23461496248478,269.6927414670261,158.63359480261423,167.2580727498675,193.99630408850578
Kabupaten Lamongan,177.76137178813633,279.8003137953919,136.05958584384985,132.3164796992425,173.43768362152446,0.0,173.43768362152446,141.0550034560987,193.99630408850578,0.0,228.94544568521098,132.3164796992425,185.9324552088739,136.05958584384985,141.0550034560987,132.3164796992425,185.9324552088739,189.71657597584874,206.08373686441124,228.94544568521098,189.71657597584874,228.94544568521098,177.76137178813633,141.0550034560987,145.84836063528454,206.08373686441124,193.99630408850578,113.36940151557643,193.99630408850578,136.05958584384985,193.99630408850578,193.99630408850578,185.9324552088739,136.05958584384985,141.0550034560987,171.3031356980951,228.94544568521098,0.0
Kabupaten Lumajang,129.35203168099056,170.44818508860695,233.57885135431223,223.81877758579574,109.70845272812835,228.94544568521098,109.70845272812835,316.7216307737761,167.2580727498675,228.94544568521098,0.0,223.81877758579574,183.87895175903066,233.57885135431223,316.7216307737761,223.81877758579574,183.87895175903066,175.47574846684628,123.42305416736376,0.0,175.47574846684628,0.0,129.35203168099056,316.7216307737761,138.55923390377131,123.42305416736376,167.2580727498675,190.22936813226232,167.2580727498675,233.57885135431223,167.2580727498675,167.2580727498675,183.87895175903066,233.57885135431223,316.7216307737761,111.91432571391375,0.0,228.94544568521098
Kabupaten Madiun,196.48316569110958,286.31596113385024,144.2061708110993,0.0,178.4561080490101,132.3164796992425,178.4561080490101,176.56903069338077,150.0689881354572,132.3164796992425,223.81877758579574,0.0,121.64143208627561,144.2061708110993,176.56903069338077,0.0,121.64143208627561,145.41440678282189,220.16956828771742,223.81877758579574,145.41440678282189,223.81877758579574,196.48316569110958,176.56903069338077,164.85002729754106,220.16956828771742,150.0689881354572,105.21563904667399,150.0689881354572,144.2061708110993,150.0689881354572,150.0689881354572,121.64143208627561,144.2061708110993,176.56903069338077,182.7464601572354,223.81877758579574,132.3164796992425
Kabupaten Magetan,166.78135447345406,238.57934382506764,211.78680577410861,121.64143208627561,172.80638587737414,185.9324552088739,172.80638587737414,259.2129506795521,120.0551364998598,185.9324552088739,183.87895175903066,121.64143208627561,0.0,211.78680577410861,259.2129506795521,121.64143208627561,0.0,114.56305687262353,179.3264277790641,183.87895175903066,114.56305687262353,183.87895175903066,166.78135447345406,259.2129506795521,157.27279485022197,179.3264277790641,120.0551364998598,138.64271059092866,120.0551364998598,211.78680577410861,120.0551364998598,120.0551364998598,0.0,211.78680577410861,259.2129506795521,160.46939427816116,183.87895175903066,185.9324552088739
Kabupaten Malang,210.9938257390483,302.1016127067191,0.0,144.2061708110993,165.7602913848787,136.05958584384985,165.7602913848787,129.7966590479122,189.23461496248478,136.05958584384985,233.57885135431223,144.2061708110993,211.78680577410861,0.0,129.7966590479122,144.2061708110993,211.78680577410861,198.6581010178035,238.65209343309775,233.57885135431223,198.6581010178035,233.57885135431223,210.9938257390483,129.7966590479122,168.11808558272324,238.65209343309775,189.23461496248478,160.72184014626,189.23461496248478,0.0,189.23461496248478,189.23461496248478,211.78680577410861,0.0,129.7966590479122,191.64312432226725,233.57885135431223,136.05958584384985
Kabupaten Mojokerto,277.6979533594012,378.27562120760547,129.7966590479122,176.56903069338077,237.8938708752283,141.0550034560987,237.8938708752283,0.0,269.6927414670261,141.0550034560987,316.7216307737761,176.56903069338077,259.2129506795521,129.7966590479122,0.0,176.56903069338077,259.2129506795521,270.4889796276367,307.24263392309336,316.7216307737761,270.4889796276367,316.7216307737761,277.6979533594012,0.0,219.4724230968436,307.24263392309336,269.6927414670261,205.67485845382203,269.6927414670261,129.7966590479122,269.6927414670261,269.6927414670261,259.2129506795521,129.7966590479122,0.0,253.10357919239271,316.7216307737761,141.0550034560987
Kabupaten Nganjuk,196.48316569110958,286.31596113385024,144.2061708110993,0.0,178.4561080490101,132.3164796992425,178.4561080490101,176.56903069338077,150.0689881354572,132.3164796992425,223.81877758579574,0.0,121.64143208627561,144.2061708110993,176.56903069338077,0.0,121.64143208627561,145.41440678282189,220.16956828771742,223.81877758579574,145.41440678282189,223.81877758579574,196.48316569110958,176.56903069338077,164.85002729754106,220.16956828771742,150.0689881354572,105.21563904667399,150.0689881354572,144.2061708110993,150.0689881354572,150.0689881354572,121.64143208627561,144.2061708110993,176.56903069338077,182.7464601572354,223.81877758579574,132.3164796992425
