c,w(m),MaxIter,Error (ε),J,Xie-Beni,Iterations,Converged
0,1.056,100,1e-05,0.0,0.0,10,True
0,1.056,100,1e-09,0.0,0.0,10,True
0,1.056,1000,1e-05,0.0,0.0,10,True
0,1.056,1000,1e-09,0.0,0.0,10,True
0,1.2,100,1e-05,0.0,0.0,10,True
0,1.2,100,1e-09,0.0,0.0,10,True
0,1.2,1000,1e-05,0.0,0.0,10,True
0,1.2,1000,1e-09,0.0,0.0,10,True
1,1.056,100,1e-05,5668.410801323852,0.0,10,True
1,1.056,100,1e-09,5668.410801323852,0.0,10,True
1,1.056,1000,1e-05,5668.410801323852,0.0,10,True
1,1.056,1000,1e-09,5668.410801323852,0.0,10,True
1,1.2,100,1e-05,5668.410801323034,0.0,10,True
1,1.2,100,1e-09,5668.410801323034,0.0,10,True
1,1.2,1000,1e-05,5668.410801323034,0.0,10,True
1,1.2,1000,1e-09,5668.410801323034,0.0,10,True
2,1.2,1000,1e-09,3978.6594136697618,0.440712588781118,10,True
2,1.2,1000,1e-05,3978.6594136697618,0.440712588781118,10,True
2,1.2,100,1e-09,3978.6594136697618,0.440712588781118,10,True
2,1.2,100,1e-05,3978.6594136697618,0.440712588781118,10,True
2,1.056,1000,1e-09,4111.860407263403,0.4523848840056394,10,True
2,1.056,1000,1e-05,4111.860407263403,0.4523848840056394,10,True
2,1.056,100,1e-09,4111.860407263403,0.4523848840056394,10,True
2,1.056,100,1e-05,4111.860407263403,0.4523848840056394,10,True
